update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
580,593920,0.44,58.03,-0.0034700546821113676,0.1278796475380659,0.10131461545825005,0.05945662222802639,1002.6289434872681,0.33,58.74
590,604160,0.45,61.31,-0.003660261514596641,0.19087620452046394,0.08509370777755976,0.09092690260149539,1001.6438189571953,,
600,614400,0.47,62.04,-0.0044336239516269416,0.16216753982007504,0.16966975200921297,0.07495344756171107,1003.416738118244,0.29,62.25
610,624640,0.49,62.49,-0.003333903499878943,0.13615584559738636,0.1679606782272458,0.06306441244669259,1002.0646692226426,,
620,634880,0.48,60.86,-0.0036778252106159925,0.13600297132506967,0.20322869066148996,0.06229137454647571,1004.2101640398938,0.36,65.44
630,645120,0.48,62.81,-0.0025875269493553787,0.132839928381145,0.14157968666404486,0.06241664011031389,1003.4973388092659,,
640,655360,0.46,58.59,-0.0016846026701387018,0.17468468938022852,0.12270553642883897,0.08443068666383624,1005.3957579280925,0.29,66.12
650,665600,0.43,57.37,-0.0011083652643719688,0.1734893168322742,0.15755868516862392,0.0840607057325542,1004.7404793793959,,
660,675840,0.47,56.48,0.0010094115568790585,0.15973532665520906,0.14067460410296917,0.07947032945230603,1006.3534849875975,0.34,62.88
670,686080,0.61,63.67,-0.006180396885611117,0.1576186642050743,0.14968578983098269,0.07113207667134702,1005.522301876128,,
680,696320,0.54,62.68,-0.011652234257780947,0.19239488616585732,0.15092552453279495,0.08303595334291458,1007.5968385499398,0.37,62.91
690,706560,0.56,65.14,-0.0034586481779115275,0.19902412593364716,0.1501605655066669,0.09455181006342173,1007.0063671279727,,
700,716800,0.54,64.15,-0.001433398952940479,0.1759098432958126,0.0955383654218167,0.08556613931432366,1008.8117829066549,0.35,61.25
710,727040,0.5,59.68,-0.004067211237270385,0.13628704380244017,0.15324033237993717,0.0625439069699496,1008.0762623180332,,
720,737280,0.56,60.63,9.398572728969157e-05,0.16988808661699295,0.1134234070777893,0.08390379371121526,1009.8391351529938,0.35,60.91
730,747520,0.4,55.13,-0.0027049128111684695,0.15968172531574965,0.10738659230992198,0.07606208370998502,1009.2160255198654,,
740,757760,0.51,59.1,-0.0060973475920036435,0.1918720304965973,0.11893968842923641,0.08864927012473345,1010.6712165642267,0.38,60.71
750,768000,0.59,64.83,-0.004290024997317232,0.20054087042808533,0.14108839724212885,0.09456952614709735,1009.7755294428522,,
760,778240,0.57,65.73,0.02013443474425003,0.1510090329684317,0.14159494545310736,0.09422300243750215,1011.2195279765962,0.3,56.93
770,788480,0.53,63.05,-0.005961885442957282,0.1420299052260816,0.14819001499563456,0.06357116694562137,1010.5623599945546,,
780,798720,0.47,60.64,0.0014878760266583413,0.1554890088737011,0.10769337648525834,0.07815544633194804,1012.1799399550806,0.38,60.49
790,808960,0.49,59.86,-0.0017861825617728755,0.2170224543660879,0.16264038439840078,0.10509864147752523,1011.2089390514941,,
800,819200,0.5,59.47,-0.006004191003739834,0.15567098604515195,0.19365312438458204,0.06989477062597871,1012.2269643092559,0.25,63.8
810,829440,0.51,61.62,-0.006909533578436822,0.1595956073142588,0.19653495773673058,0.07092292071320117,1010.9301869956414,,
820,839680,0.48,63.13,-0.00033596946741454303,0.1499053630977869,0.15509606432169676,0.07306575123220682,1012.1307522229869,0.33,60.48
830,849920,0.5,59.16,-3.2086201827041805e-05,0.15043992549180984,0.1507179643958807,0.0736806970089674,1011.1691042909982,,
840,860160,0.58,63.8,-0.007262841769261286,0.16984567791223526,0.14585765451192856,0.07620141888037324,1012.2917965493957,0.34,60.57
850,870400,0.46,60.3,4.999409429728985e-05,0.17051086854189634,0.15398051869124174,0.08376562315970659,1011.4048086968722,,
860,880640,0.51,61.38,-0.0028342041769064963,0.11809687269851565,0.1463127564638853,0.05475110444240272,1012.3704857623738,0.37,62.1
870,890880,0.53,62.39,-0.0007349232328124344,0.15498728957027197,0.13428714545443654,0.07541585015133023,1011.692501245159,,
880,901120,0.49,60.81,-0.0029048100986983627,0.20349435415118933,0.14926693122833967,0.097349698189646,1012.9860106727219,0.37,64.61
890,911360,0.48,57.97,-0.0024400448601227254,0.13921484863385558,0.1488300571218133,0.0656790800858289,1012.1576566002852,,
900,921600,0.44,57.31,0.0033666843082755804,0.12691759318113327,0.2086521601304412,0.06473896000534296,1013.2166329689602,0.42,60.32
910,931840,0.5,59.77,-0.0027594869025051594,0.15238753845915198,0.0708924219943583,0.07272535911761224,1012.2055975219916,,
920,942080,0.54,64.01,0.0013541776279453188,0.14991257432848215,0.11211077589541674,0.0751893559936434,1013.3147264143332,0.37,63.73
