signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
4-13-5-2-37-0,4,13.0,5.0,2,37,0,17,0,2,50,0.58,0.06979971346646059,64.94
5-12-0-2-31-1,5,12.0,0.0,2,31,1,37,21,1,50,0.58,0.06979971346646059,67.28
5-11-2-2-35-0,5,11.0,2.0,2,35,0,21,10,2,50,0.58,0.06979971346646059,64.94
3-14-11-2-38-3,3,14.0,11.0,2,38,3,46,37,1,50,0.58,0.06979971346646059,67.14
4-13-4-2-34-3,4,13.0,4.0,2,34,3,53,33,1,50,0.58,0.06979971346646059,66.44
4-12-0-2-17-2,4,12.0,0.0,2,17,2,25,22,1,50,0.58,0.06979971346646059,63.08
4-13-4-3-31-1,4,13.0,4.0,3,31,1,31,11,1,50,0.58,0.06979971346646059,59.94
5-12-3-2-33-0,5,12.0,3.0,2,33,0,19,0,1,50,0.58,0.06979971346646059,65.32
2-14-8-3-22-2,2,14.0,8.0,3,22,2,51,46,1,50,0.58,0.06979971346646059,67.46
4-14-5-3-43-0,4,14.0,5.0,3,43,0,33,14,1,50,0.58,0.06979971346646059,69.46
5-14-0-2-25-0,5,14.0,0.0,2,25,0,18,4,2,50,0.58,0.06979971346646059,66.34
4-7-2-2-18-1,4,7.0,2.0,2,18,1,34,21,1,50,0.58,0.06979971346646059,64.36
4-13-6-2-38-0,4,13.0,6.0,2,38,0,26,8,1,50,0.58,0.06979971346646059,65.82
3-14-3-3-28-0,3,14.0,3.0,3,28,0,26,20,1,50,0.58,0.06979971346646059,63.54
4-12-2-3-31-1,4,12.0,2.0,3,31,1,32,25,2,50,0.58,0.06979971346646059,65.66
5-9-4-3-31-1,5,9.0,4.0,3,31,1,44,15,1,50,0.58,0.06979971346646059,65.96
4-11-2-3-24-1,4,11.0,2.0,3,24,1,44,35,1,50,0.58,0.06979971346646059,64.74
5-12-0-1-30-0,5,12.0,0.0,1,30,0,10,0,1,50,0.58,0.06979971346646059,63.34
5-9-4-2-34-0,5,9.0,4.0,2,34,0,41,20,1,50,0.58,0.06979971346646059,69.76
3-14-4-2-23-2,3,14.0,4.0,2,23,2,49,32,2,50,0.58,0.06979971346646059,64.7
3-9-3-3-16-2,3,9.0,3.0,3,16,2,42,36,1,50,0.58,0.06979971346646059,61.14
3-13-4-2-25-1,3,13.0,4.0,2,25,1,50,41,2,50,0.58,0.06979971346646059,60.54
6-9-0-1-30-0,6,9.0,0.0,1,30,0,19,0,1,50,0.58,0.06979971346646059,67.06
3-14-3-3-30-1,3,14.0,3.0,3,30,1,25,19,1,50,0.58,0.06979971346646059,66.56
3-14-2-2-27-0,3,14.0,2.0,2,27,0,36,30,1,50,0.58,0.06979971346646059,61.2
4-14-0-3-32-0,4,14.0,0.0,3,32,0,24,8,1,50,0.58,0.06979971346646059,65.68
4-10-2-3-27-1,4,10.0,2.0,3,27,1,21,15,2,50,0.58,0.06979971346646059,63.04
3-11-0-2-16-1,3,11.0,0.0,2,16,1,48,35,1,50,0.56,0.07019971509913697,63.54
3-12-2-2-20-2,3,12.0,2.0,2,20,2,40,26,1,50,0.56,0.07019971509913697,64.5
4-13-0-3-27-1,4,13.0,0.0,3,27,1,36,21,3,50,0.56,0.07019971509913697,64.96
4-14-2-4-27-0,4,14.0,2.0,4,27,0,34,10,1,50,0.56,0.07019971509913697,58.28
4-14-0-3-29-1,4,14.0,0.0,3,29,1,18,11,1,50,0.56,0.07019971509913697,66.86
3-12-7-3-29-2,3,12.0,7.0,3,29,2,33,26,1,50,0.56,0.07019971509913697,64.4
5-12-3-1-34-0,5,12.0,3.0,1,34,0,30,4,1,50,0.56,0.07019971509913697,65.76
4-11-3-2-31-1,4,11.0,3.0,2,31,1,22,15,1,50,0.56,0.07019971509913697,64.66
3-13-9-2-33-0,3,13.0,9.0,2,33,0,16,8,2,50,0.56,0.07019971509913697,61.38
2-13-3-2-16-2,2,13.0,3.0,2,16,2,35,32,1,50,0.56,0.07019971509913697,61.66
3-14-6-2-33-1,3,14.0,6.0,2,33,1,36,19,3,50,0.56,0.07019971509913697,68.18
5-10-4-2-34-1,5,10.0,4.0,2,34,1,35,15,1,50,0.56,0.07019971509913697,67.08
4-14-2-2-26-1,4,14.0,2.0,2,26,1,20,15,1,50,0.56,0.07019971509913697,65.72
4-14-4-3-30-1,4,14.0,4.0,3,30,1,44,25,1,50,0.56,0.07019971509913697,63.26
4-14-5-3-36-1,4,14.0,5.0,3,36,1,32,15,2,50,0.56,0.07019971509913697,65.02
3-14-2-2-23-2,3,14.0,2.0,2,23,2,27,22,3,50,0.56,0.07019971509913697,64.86
5-10-2-2-30-0,5,10.0,2.0,2,30,0,28,10,3,50,0.56,0.07019971509913697,63.58
3-5-0-4-7-2,3,5.0,0.0,4,7,2,42,32,1,50,0.56,0.07019971509913697,57.86
5-11-0-2-29-1,5,11.0,0.0,2,29,1,40,21,1,50,0.56,0.07019971509913697,68.92
3-12-0-3-20-2,3,12.0,0.0,3,20,2,31,26,1,50,0.56,0.07019971509913697,64.34
3-14-6-3-33-0,3,14.0,6.0,3,33,0,31,14,1,50,0.56,0.07019971509913697,65.42
3-8-0-2-11-2,3,8.0,0.0,2,11,2,38,36,1,50,0.56,0.07019971509913697,62.04
3-14-7-2-30-2,3,14.0,7.0,2,30,2,29,22,1,50,0.56,0.07019971509913697,64.14
5-11-3-3-33-0,5,11.0,3.0,3,33,0,20,0,1,50,0.56,0.07019971509913697,64.16
3-12-8-3-29-2,3,12.0,8.0,3,29,2,33,26,1,50,0.56,0.07019971509913697,66.44
5-13-4-2-41-0,5,13.0,4.0,2,41,0,25,4,1,50,0.56,0.07019971509913697,66.62
3-12-7-3-27-2,3,12.0,7.0,3,27,2,47,40,1,50,0.56,0.07019971509913697,66.88
3-13-2-3-22-2,3,13.0,2.0,3,22,2,51,46,1,50,0.56,0.07019971509913697,66.76
5-11-3-2-33-0,5,11.0,3.0,2,33,0,26,0,1,50,0.56,0.07019971509913697,67.84
4-8-0-2-17-2,4,8.0,0.0,2,17,2,26,22,1,50,0.56,0.07019971509913697,63.48
5-11-2-2-32-1,5,11.0,2.0,2,32,1,37,11,1,50,0.56,0.07019971509913697,66.98
3-13-3-3-23-2,3,13.0,3.0,3,23,2,27,22,1,50,0.56,0.07019971509913697,64.34
4-10-2-2-22-1,4,10.0,2.0,2,22,1,36,19,1,50,0.56,0.07019971509913697,59.16
4-10-4-2-30-0,4,10.0,4.0,2,30,0,34,24,2,50,0.56,0.07019971509913697,62.32
4-7-3-2-21-1,4,7.0,3.0,2,21,1,38,15,2,50,0.56,0.07019971509913697,61.34
3-9-2-3-18-2,3,9.0,2.0,3,18,2,40,36,1,50,0.56,0.07019971509913697,66.32
4-14-4-2-37-0,4,14.0,4.0,2,37,0,39,18,1,50,0.56,0.07019971509913697,65.22
4-13-7-3-38-0,4,13.0,7.0,3,38,0,23,14,1,50,0.56,0.07019971509913697,63.1
4-14-5-2-35-1,4,14.0,5.0,2,35,1,38,21,1,50,0.56,0.07019971509913697,66.1
4-11-6-2-36-0,4,11.0,6.0,2,36,0,26,8,1,50,0.56,0.07019971509913697,60.66
3-13-10-3-34-1,3,13.0,10.0,3,34,1,47,39,1,50,0.56,0.07019971509913697,67.4
5-11-0-2-30-0,5,11.0,0.0,2,30,0,30,10,2,50,0.56,0.07019971509913697,62.94
3-13-5-2-28-1,3,13.0,5.0,2,28,1,44,29,1,50,0.56,0.07019971509913697,66.28
3-10-5-2-23-1,3,10.0,5.0,2,23,1,35,21,2,50,0.56,0.07019971509913697,61.28
4-12-2-4-33-0,4,12.0,2.0,4,33,0,21,14,1,50,0.56,0.07019971509913697,61.22
5-11-4-1-35-0,5,11.0,4.0,1,35,0,34,4,1,50,0.56,0.07019971509913697,63.6
5-13-2-1-28-0,5,13.0,2.0,1,28,0,22,4,1,50,0.56,0.07019971509913697,60.1
4-9-3-2-23-2,4,9.0,3.0,2,23,2,49,26,1,50,0.56,0.07019971509913697,61.32
3-14-5-2-26-0,3,14.0,5.0,2,26,0,35,20,1,50,0.56,0.07019971509913697,63.82
4-10-0-2-16-1,4,10.0,0.0,2,16,1,27,21,1,50,0.56,0.07019971509913697,62.74
4-13-5-3-35-1,4,13.0,5.0,3,35,1,46,29,1,50,0.56,0.07019971509913697,61.8
4-12-0-2-21-1,4,12.0,0.0,2,21,1,36,31,2,50,0.56,0.07019971509913697,65.18
4-14-3-2-28-1,4,14.0,3.0,2,28,1,30,21,1,50,0.56,0.07019971509913697,64.94
3-14-3-2-25-2,3,14.0,3.0,2,25,2,41,36,1,50,0.56,0.07019971509913697,68.22
5-11-4-2-37-0,5,11.0,4.0,2,37,0,21,0,1,50,0.56,0.07019971509913697,62.38
3-13-0-2-23-1,3,13.0,0.0,2,23,1,40,35,2,50,0.56,0.07019971509913697,67.1
3-14-5-4-28-1,3,14.0,5.0,4,28,1,36,21,1,50,0.56,0.07019971509913697,63.44
4-12-3-3-32-0,4,12.0,3.0,3,32,0,27,10,1,50,0.56,0.07019971509913697,63.22
4-14-0-3-26-0,4,14.0,0.0,3,26,0,33,18,1,50,0.56,0.07019971509913697,61.22
2-14-12-3-26-1,2,14.0,12.0,3,26,1,37,31,3,50,0.56,0.07019971509913697,60.14
3-10-5-4-23-2,3,10.0,5.0,4,23,2,46,32,1,50,0.56,0.07019971509913697,65.32
3-14-4-2-31-0,3,14.0,4.0,2,31,0,14,4,1,50,0.56,0.07019971509913697,63.84
3-14-11-4-37-1,3,14.0,11.0,4,37,1,30,21,1,50,0.56,0.07019971509913697,67.24
5-12-2-2-37-0,5,12.0,2.0,2,37,0,18,10,3,50,0.56,0.07019971509913697,66.08
5-13-0-3-22-0,5,13.0,0.0,3,22,0,21,14,1,50,0.56,0.07019971509913697,64.7
3-13-0-3-21-2,3,13.0,0.0,3,21,2,31,26,1,50,0.56,0.07019971509913697,60.28
3-12-3-3-25-1,3,12.0,3.0,3,25,1,30,25,2,50,0.56,0.07019971509913697,64.88
3-14-6-3-32-0,3,14.0,6.0,3,32,0,41,24,2,50,0.56,0.07019971509913697,63.5
5-9-2-1-28-0,5,9.0,2.0,1,28,0,22,4,1,50,0.56,0.07019971509913697,63.3
4-10-2-2-21-2,4,10.0,2.0,2,21,2,45,32,1,50,0.56,0.07019971509913697,63.82
2-10-8-3-18-2,2,10.0,8.0,3,18,2,30,26,2,50,0.56,0.07019971509913697,61.9
3-14-7-3-31-1,3,14.0,7.0,3,31,1,26,19,1,50,0.56,0.07019971509913697,62.1
3-12-9-2-31-0,3,12.0,9.0,2,31,0,27,20,2,50,0.56,0.07019971509913697,64.88
3-13-2-4-24-1,3,13.0,2.0,4,24,1,30,25,1,50,0.56,0.07019971509913697,64.0
3-14-4-3-29-2,3,14.0,4.0,3,29,2,46,36,1,50,0.56,0.07019971509913697,66.34
3-12-4-2-27-0,3,12.0,4.0,2,27,0,24,14,2,50,0.56,0.07019971509913697,63.42
4-11-2-3-27-2,4,11.0,2.0,3,27,2,41,26,1,50,0.56,0.07019971509913697,64.88
3-12-2-3-21-2,3,12.0,2.0,3,21,2,35,30,1,50,0.56,0.07019971509913697,59.28
3-14-4-3-28-1,3,14.0,4.0,3,28,1,44,35,3,50,0.56,0.07019971509913697,62.32
3-10-0-2-19-2,3,10.0,0.0,2,19,2,36,32,1,50,0.56,0.07019971509913697,65.7
5-10-2-2-29-0,5,10.0,2.0,2,29,0,32,14,1,50,0.56,0.07019971509913697,60.86
3-10-4-2-23-2,3,10.0,4.0,2,23,2,40,32,1,50,0.56,0.07019971509913697,65.68
3-13-2-2-25-1,3,13.0,2.0,2,25,1,26,21,1,50,0.56,0.07019971509913697,61.12
3-14-0-2-18-2,3,14.0,0.0,2,18,2,47,40,2,50,0.56,0.07019971509913697,61.8
4-12-0-3-32-0,4,12.0,0.0,3,32,0,8,0,1,50,0.56,0.07019971509913697,63.26
3-13-5-2-30-1,3,13.0,5.0,2,30,1,37,21,1,50,0.56,0.07019971509913697,64.76
3-14-7-3-33-0,3,14.0,7.0,3,33,0,22,14,1,50,0.56,0.07019971509913697,65.98
4-10-0-2-25-2,4,10.0,0.0,2,25,2,47,32,1,50,0.56,0.07019971509913697,65.66
3-13-3-3-28-1,3,13.0,3.0,3,28,1,37,31,1,50,0.56,0.07019971509913697,63.38
4-8-2-3-23-1,4,8.0,2.0,3,23,1,40,25,1,50,0.56,0.07019971509913697,66.32
4-11-4-2-28-1,4,11.0,4.0,2,28,1,45,25,1,50,0.56,0.07019971509913697,62.62
3-11-0-3-21-1,3,11.0,0.0,3,21,1,26,21,1,50,0.56,0.07019971509913697,64.76
4-13-0-2-23-1,4,13.0,0.0,2,23,1,33,15,1,50,0.56,0.07019971509913697,63.48
3-14-7-3-30-2,3,14.0,7.0,3,30,2,29,22,1,50,0.54,0.07048404074682439,67.48
2-13-8-4-21-2,2,13.0,8.0,4,21,2,37,32,1,50,0.54,0.07048404074682439,60.84
3-14-3-2-25-1,3,14.0,3.0,2,25,1,40,35,1,50,0.54,0.07048404074682439,68.34
4-13-3-3-32-0,4,13.0,3.0,3,32,0,21,14,1,50,0.54,0.07048404074682439,58.72
5-11-0-2-20-0,5,11.0,0.0,2,20,0,21,14,1,50,0.54,0.07048404074682439,60.94
3-10-3-2-17-2,3,10.0,3.0,2,17,2,32,26,1,50,0.54,0.07048404074682439,62.38
4-11-6-2-32-1,4,11.0,6.0,2,32,1,39,21,1,50,0.54,0.07048404074682439,61.6
3-8-2-2-17-1,3,8.0,2.0,2,17,1,19,15,1,50,0.54,0.07048404074682439,65.0
3-11-8-3-29-1,3,11.0,8.0,3,29,1,26,19,1,50,0.54,0.07048404074682439,63.48
3-13-5-4-25-1,3,13.0,5.0,4,25,1,36,21,1,50,0.54,0.07048404074682439,64.96
5-9-0-2-22-1,5,9.0,0.0,2,22,1,34,11,1,50,0.54,0.07048404074682439,64.88
4-13-4-3-35-1,4,13.0,4.0,3,35,1,42,21,2,50,0.54,0.07048404074682439,67.9
3-11-7-3-28-0,3,11.0,7.0,3,28,0,21,14,1,50,0.54,0.07048404074682439,63.54
5-9-0-1-22-0,5,9.0,0.0,1,22,0,33,10,1,50,0.54,0.07048404074682439,63.42
3-9-0-3-15-2,3,9.0,0.0,3,15,2,45,32,1,50,0.54,0.07048404074682439,56.26
3-14-0-2-19-1,3,14.0,0.0,2,19,1,34,21,1,50,0.54,0.07048404074682439,61.66
5-12-0-2-35-0,5,12.0,0.0,2,35,0,28,10,1,50,0.54,0.07048404074682439,65.14
3-13-11-3-36-0,3,13.0,11.0,3,36,0,13,4,2,50,0.54,0.07048404074682439,63.9
3-11-8-3-29-0,3,11.0,8.0,3,29,0,31,24,1,50,0.54,0.07048404074682439,64.04
4-10-0-4-23-1,4,10.0,0.0,4,23,1,29,21,1,50,0.54,0.07048404074682439,61.72
3-11-5-2-26-2,3,11.0,5.0,2,26,2,41,26,1,50,0.54,0.07048404074682439,61.76
3-10-6-2-23-2,3,10.0,6.0,2,23,2,51,36,1,50,0.54,0.07048404074682439,63.02
4-11-2-2-31-1,4,11.0,2.0,2,31,1,22,15,2,50,0.54,0.07048404074682439,62.12
4-12-0-3-28-0,4,12.0,0.0,3,28,0,30,14,2,50,0.54,0.07048404074682439,58.82
3-14-9-2-36-0,3,14.0,9.0,2,36,0,26,18,1,50,0.54,0.07048404074682439,66.52
3-13-10-2-34-0,3,13.0,10.0,2,34,0,32,24,1,50,0.54,0.07048404074682439,64.96
3-13-3-2-27-1,3,13.0,3.0,2,27,1,37,31,1,50,0.54,0.07048404074682439,67.04
4-12-2-2-30-1,4,12.0,2.0,2,30,1,41,25,1,50,0.54,0.07048404074682439,63.22
3-13-0-2-18-2,3,13.0,0.0,2,18,2,45,32,1,50,0.54,0.07048404074682439,65.84
3-10-3-2-20-2,3,10.0,3.0,2,20,2,40,36,1,50,0.54,0.07048404074682439,67.52
5-9-0-2-24-0,5,9.0,0.0,2,24,0,35,8,2,50,0.54,0.07048404074682439,61.18
3-12-3-2-21-2,3,12.0,3.0,2,21,2,46,32,1,50,0.54,0.07048404074682439,63.18
5-11-0-2-23-0,5,11.0,0.0,2,23,0,9,4,1,50,0.54,0.07048404074682439,63.96
4-14-0-2-26-1,4,14.0,0.0,2,26,1,24,15,1,50,0.54,0.07048404074682439,61.92
5-10-0-2-28-0,5,10.0,0.0,2,28,0,19,0,1,50,0.54,0.07048404074682439,61.76
4-11-7-3-35-1,4,11.0,7.0,3,35,1,20,11,1,50,0.54,0.07048404074682439,65.52
3-14-7-2-33-0,3,14.0,7.0,2,33,0,22,14,2,50,0.54,0.07048404074682439,63.18
5-11-0-2-29-0,5,11.0,0.0,2,29,0,11,4,1,50,0.54,0.07048404074682439,60.4
3-11-5-2-24-1,3,11.0,5.0,2,24,1,36,21,2,50,0.54,0.07048404074682439,64.62
4-11-2-2-23-0,4,11.0,2.0,2,23,0,38,20,2,50,0.54,0.07048404074682439,61.48
4-12-2-2-29-1,4,12.0,2.0,2,29,1,26,11,1,50,0.54,0.07048404074682439,66.1
4-9-5-2-27-1,4,9.0,5.0,2,27,1,40,15,1,50,0.54,0.07048404074682439,63.64
4-12-7-2-36-0,4,12.0,7.0,2,36,0,17,8,1,50,0.54,0.07048404074682439,64.02
4-14-2-3-28-0,4,14.0,2.0,3,28,0,15,10,1,50,0.54,0.07048404074682439,63.22
4-10-5-3-29-2,4,10.0,5.0,3,29,2,47,22,1,50,0.54,0.07048404074682439,61.98
3-13-9-3-33-0,3,13.0,9.0,3,33,0,22,14,1,50,0.54,0.07048404074682439,62.56
4-11-3-2-31-0,4,11.0,3.0,2,31,0,17,10,2,50,0.54,0.07048404074682439,61.36
4-14-3-2-38-0,4,14.0,3.0,2,38,0,18,10,1,50,0.54,0.07048404074682439,63.02
6-8-2-1-29-0,6,8.0,2.0,1,29,0,22,4,1,50,0.54,0.07048404074682439,64.44
4-14-0-3-30-1,4,14.0,0.0,3,30,1,31,15,1,50,0.54,0.07048404074682439,68.92
4-12-5-3-31-0,4,12.0,5.0,3,31,0,36,10,1,50,0.54,0.07048404074682439,60.52
4-12-0-2-23-2,4,12.0,0.0,2,23,2,46,22,1,50,0.54,0.07048404074682439,64.88
4-12-5-3-31-1,4,12.0,5.0,3,31,1,51,25,1,50,0.54,0.07048404074682439,62.44
3-14-4-3-25-2,3,14.0,4.0,3,25,2,41,32,1,50,0.54,0.07048404074682439,63.16
5-11-0-2-28-0,5,11.0,0.0,2,28,0,40,20,1,50,0.54,0.07048404074682439,61.2
5-10-0-1-31-0,5,10.0,0.0,1,31,0,24,14,1,50,0.54,0.07048404074682439,62.32
3-11-2-2-23-2,3,11.0,2.0,2,23,2,31,26,1,50,0.54,0.07048404074682439,62.42
4-11-5-4-32-1,4,11.0,5.0,4,32,1,41,15,1,50,0.54,0.07048404074682439,58.86
4-9-0-2-20-1,4,9.0,0.0,2,20,1,48,25,2,50,0.54,0.07048404074682439,60.32
4-14-5-2-37-1,4,14.0,5.0,2,37,1,32,15,1,50,0.54,0.07048404074682439,62.86
3-10-0-2-19-1,3,10.0,0.0,2,19,1,25,21,5,50,0.54,0.07048404074682439,58.92
4-13-0-2-31-1,4,13.0,0.0,2,31,1,32,25,1,50,0.54,0.07048404074682439,64.82
3-9-3-2-20-2,3,9.0,3.0,2,20,2,30,26,1,50,0.54,0.07048404074682439,64.72
4-9-2-2-18-1,4,9.0,2.0,2,18,1,25,19,2,50,0.54,0.07048404074682439,62.38
5-13-3-2-35-0,5,13.0,3.0,2,35,0,11,0,1,50,0.54,0.07048404074682439,66.66
3-12-3-3-26-1,3,12.0,3.0,3,26,1,25,19,1,50,0.54,0.07048404074682439,63.02
5-10-2-2-27-1,5,10.0,2.0,2,27,1,25,11,1,50,0.54,0.07048404074682439,65.76
5-10-5-2-36-0,5,10.0,5.0,2,36,0,37,10,1,50,0.54,0.07048404074682439,66.9
4-12-0-3-25-1,4,12.0,0.0,3,25,1,31,15,1,50,0.54,0.07048404074682439,61.08
4-11-5-2-29-1,4,11.0,5.0,2,29,1,41,15,3,50,0.54,0.07048404074682439,63.66
3-13-8-2-31-0,3,13.0,8.0,2,31,0,17,10,2,50,0.54,0.07048404074682439,61.48
5-13-0-2-32-0,5,13.0,0.0,2,32,0,11,0,1,50,0.54,0.07048404074682439,64.6
3-14-4-2-30-1,3,14.0,4.0,2,30,1,29,19,1,50,0.54,0.07048404074682439,67.74
4-10-5-2-29-1,4,10.0,5.0,2,29,1,46,21,1,50,0.54,0.07048404074682439,63.82
5-9-3-2-28-0,5,9.0,3.0,2,28,0,38,20,1,50,0.54,0.07048404074682439,62.68
5-7-0-1-22-0,5,7.0,0.0,1,22,0,37,10,1,50,0.54,0.07048404074682439,64.0
3-8-3-2-17-2,3,8.0,3.0,2,17,2,35,22,2,50,0.54,0.07048404074682439,63.76
5-14-0-1-23-0,5,14.0,0.0,1,23,0,17,10,1,50,0.54,0.07048404074682439,62.74
4-13-3-2-35-0,4,13.0,3.0,2,35,0,25,18,2,50,0.54,0.07048404074682439,62.16
3-13-3-3-25-1,3,13.0,3.0,3,25,1,30,25,3,50,0.54,0.07048404074682439,64.28
3-14-3-3-29-1,3,14.0,3.0,3,29,1,37,31,1,50,0.54,0.07048404074682439,63.7
4-10-2-2-28-1,4,10.0,2.0,2,28,1,17,11,1,50,0.54,0.07048404074682439,60.6
3-13-5-2-28-2,3,13.0,5.0,2,28,2,47,32,2,50,0.54,0.07048404074682439,66.96
4-14-0-2-21-1,4,14.0,0.0,2,21,1,28,21,2,50,0.54,0.07048404074682439,64.76
4-11-2-2-26-2,4,11.0,2.0,2,26,2,37,22,1,50,0.54,0.07048404074682439,65.56
5-12-0-2-38-0,5,12.0,0.0,2,38,0,19,10,1,50,0.54,0.07048404074682439,66.4
5-12-3-1-32-0,5,12.0,3.0,1,32,0,34,14,1,50,0.54,0.07048404074682439,64.32
4-14-3-3-32-0,4,14.0,3.0,3,32,0,31,24,1,50,0.54,0.07048404074682439,64.2
4-13-4-3-35-0,4,13.0,4.0,3,35,0,12,0,2,50,0.54,0.07048404074682439,62.38
2-14-11-2-25-1,2,14.0,11.0,2,25,1,17,11,2,50,0.54,0.07048404074682439,64.96
4-8-2-2-21-2,4,8.0,2.0,2,21,2,30,22,1,50,0.54,0.07048404074682439,63.18
3-9-2-2-17-2,3,9.0,2.0,2,17,2,45,32,1,50,0.54,0.07048404074682439,64.72
3-14-2-2-27-1,3,14.0,2.0,2,27,1,21,15,2,50,0.54,0.07048404074682439,60.76
4-13-4-2-36-0,4,13.0,4.0,2,36,0,26,14,1,50,0.54,0.07048404074682439,66.56
3-11-0-2-18-2,3,11.0,0.0,2,18,2,31,26,1,50,0.54,0.07048404074682439,62.8
4-12-2-2-29-0,4,12.0,2.0,2,29,0,27,20,1,50,0.54,0.07048404074682439,67.38
4-13-4-3-32-1,4,13.0,4.0,3,32,1,31,11,2,50,0.54,0.07048404074682439,63.84
3-13-5-3-28-1,3,13.0,5.0,3,28,1,46,31,1,50,0.52,0.07065408693062278,66.12
3-13-5-3-25-2,3,13.0,5.0,3,25,2,37,22,2,50,0.52,0.07065408693062278,59.02
4-8-0-2-17-1,4,8.0,0.0,2,17,1,24,11,1,50,0.52,0.07065408693062278,57.24
3-14-2-2-28-1,3,14.0,2.0,2,28,1,17,11,2,50,0.52,0.07065408693062278,64.12
5-13-3-1-36-0,5,13.0,3.0,1,36,0,17,0,1,50,0.52,0.07065408693062278,63.58
5-8-0-1-19-1,5,8.0,0.0,1,19,1,34,21,1,50,0.52,0.07065408693062278,64.6
4-8-0-2-15-1,4,8.0,0.0,2,15,1,31,19,2,50,0.52,0.07065408693062278,62.0
3-10-0-3-13-2,3,10.0,0.0,3,13,2,32,30,1,50,0.52,0.07065408693062278,61.9
3-11-4-4-25-2,3,11.0,4.0,4,25,2,45,36,1,50,0.52,0.07065408693062278,65.24
4-14-2-3-32-0,4,14.0,2.0,3,32,0,20,4,2,50,0.52,0.07065408693062278,62.56
3-13-3-3-23-1,3,13.0,3.0,3,23,1,36,31,1,50,0.52,0.07065408693062278,60.64
4-14-0-2-30-0,4,14.0,0.0,2,30,0,18,8,4,50,0.52,0.07065408693062278,63.32
4-8-5-2-26-1,4,8.0,5.0,2,26,1,36,11,2,50,0.52,0.07065408693062278,59.46
4-13-2-3-27-0,4,13.0,2.0,3,27,0,29,14,1,50,0.52,0.07065408693062278,60.78
3-14-9-2-34-0,3,14.0,9.0,2,34,0,32,24,2,50,0.52,0.07065408693062278,64.38
5-12-0-2-24-1,5,12.0,0.0,2,24,1,20,15,1,50,0.52,0.07065408693062278,64.38
5-11-3-3-35-0,5,11.0,3.0,3,35,0,21,4,1,50,0.52,0.07065408693062278,62.48
3-13-3-4-24-1,3,13.0,3.0,4,24,1,40,35,1,50,0.52,0.07065408693062278,62.1
3-10-0-3-16-2,3,10.0,0.0,3,16,2,39,26,1,50,0.52,0.07065408693062278,58.8
3-12-3-3-24-0,3,12.0,3.0,3,24,0,5,0,1,50,0.52,0.07065408693062278,56.74
4-12-0-4-28-0,4,12.0,0.0,4,28,0,21,14,1,50,0.52,0.07065408693062278,60.0
4-11-0-4-19-1,4,11.0,0.0,4,19,1,29,15,1,50,0.52,0.07065408693062278,58.84
4-9-3-2-27-1,4,9.0,3.0,2,27,1,37,31,1,50,0.52,0.07065408693062278,63.16
4-14-4-2-34-0,4,14.0,4.0,2,34,0,44,24,2,50,0.52,0.07065408693062278,59.16
4-11-3-2-24-1,4,11.0,3.0,2,24,1,39,21,1,50,0.52,0.07065408693062278,61.14
3-6-0-2-10-2,3,6.0,0.0,2,10,2,41,26,1,50,0.52,0.07065408693062278,58.4
3-12-0-3-22-1,3,12.0,0.0,3,22,1,30,25,1,50,0.52,0.07065408693062278,61.14
3-14-3-3-23-1,3,14.0,3.0,3,23,1,35,21,1,50,0.52,0.07065408693062278,62.06
4-13-0-3-30-0,4,13.0,0.0,3,30,0,30,14,1,50,0.52,0.07065408693062278,64.7
4-10-0-2-24-0,4,10.0,0.0,2,24,0,28,14,2,50,0.52,0.07065408693062278,59.38
3-13-6-3-28-1,3,13.0,6.0,3,28,1,47,31,1,50,0.52,0.07065408693062278,62.24
3-14-6-2-30-1,3,14.0,6.0,2,30,1,47,31,1,50,0.52,0.07065408693062278,65.44
5-9-0-2-21-0,5,9.0,0.0,2,21,0,14,10,1,50,0.52,0.07065408693062278,62.64
3-11-4-3-24-2,3,11.0,4.0,3,24,2,39,30,1,50,0.52,0.07065408693062278,61.5
6-8-0-2-25-0,6,8.0,0.0,2,25,0,24,10,1,50,0.52,0.07065408693062278,63.4
5-12-2-3-35-0,5,12.0,2.0,3,35,0,18,10,2,50,0.52,0.07065408693062278,65.86
3-12-9-3-31-0,3,12.0,9.0,3,31,0,15,8,1,50,0.52,0.07065408693062278,62.0
3-11-9-3-30-1,3,11.0,9.0,3,30,1,26,19,1,50,0.52,0.07065408693062278,59.98
3-14-3-2-26-0,3,14.0,3.0,2,26,0,13,8,1,50,0.52,0.07065408693062278,63.5
4-8-2-2-23-1,4,8.0,2.0,2,23,1,30,15,1,50,0.52,0.07065408693062278,57.92
3-14-6-2-30-2,3,14.0,6.0,2,30,2,38,22,1,50,0.52,0.07065408693062278,62.18
3-10-0-2-13-2,3,10.0,0.0,2,13,2,34,32,1,50,0.52,0.07065408693062278,62.98
4-11-4-3-34-0,4,11.0,4.0,3,34,0,15,4,1,50,0.52,0.07065408693062278,62.3
4-11-3-3-31-0,4,11.0,3.0,3,31,0,21,14,1,50,0.52,0.07065408693062278,61.58
4-12-4-3-31-1,4,12.0,4.0,3,31,1,30,11,2,50,0.52,0.07065408693062278,60.1
