signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
2-8-0-3-8-2,2,8.0,,3,8,2,32,30,3,1,0.0,0.0,0.0
3-14-4-2-29-0,3,14.0,4.0,2,29,0,18,8,1,1,0.0,0.0,0.0
1-5-5-3-5-2,1,5.0,5.0,3,5,2,50,40,3,1,0.0,0.0,0.0
3-14-3-2-28-1,3,14.0,3.0,2,28,1,37,31,4,1,0.0,0.0,0.0
3-12-4-2-23-1,3,12.0,4.0,2,23,1,24,15,4,1,0.0,0.0,0.0
4-13-3-2-33-1,4,13.0,3.0,2,33,1,26,19,3,1,0.0,0.0,0.0
2-5-4-5-9-0,2,5.0,4.0,5,9,0,28,14,1,1,0.0,0.0,0.0
3-14-0-3-17-0,3,14.0,,3,17,0,23,20,3,1,0.0,0.0,0.0
3-11-7-2-26-1,3,11.0,7.0,2,26,1,18,11,1,1,0.0,0.0,0.0
4-11-3-3-29-0,4,11.0,3.0,3,29,0,20,4,2,1,0.0,0.0,0.0
5-14-4-2-51-0,5,14.0,4.0,2,51,0,29,14,1,1,0.0,0.0,0.0
6-13-0-1-36-0,6,13.0,,1,36,0,34,14,2,1,0.0,0.0,0.0
5-14-7-1-49-0,5,14.0,7.0,1,49,0,26,14,1,1,0.0,0.0,0.0
4-9-5-2-28-1,4,9.0,5.0,2,28,1,46,21,1,1,0.0,0.0,0.0
4-14-8-2-46-3,4,14.0,8.0,2,46,3,48,37,1,1,0.0,0.0,0.0
4-12-5-2-33-0,4,12.0,5.0,2,33,0,36,10,3,1,0.0,0.0,0.0
3-12-2-3-25-1,3,12.0,2.0,3,25,1,37,31,3,1,0.0,0.0,0.0
3-13-3-3-21-0,3,13.0,3.0,3,21,0,27,14,1,1,0.0,0.0,0.0
4-13-2-3-27-1,4,13.0,2.0,3,27,1,20,11,1,1,0.0,0.0,0.0
4-14-3-3-29-1,4,14.0,3.0,3,29,1,36,21,1,1,0.0,0.0,0.0
6-14-2-1-53-1,6,14.0,2.0,1,53,1,32,11,1,1,0.0,0.0,0.0
6-14-0-1-42-0,6,14.0,,1,42,0,18,0,3,1,0.0,0.0,0.0
4-14-5-2-33-1,4,14.0,5.0,2,33,1,45,19,1,1,0.0,0.0,0.0
5-8-2-2-27-0,5,8.0,2.0,2,27,0,27,8,3,1,0.0,0.0,0.0
4-13-0-2-30-1,4,13.0,,2,30,1,22,15,1,1,0.0,0.0,0.0
2-11-7-4-18-0,2,11.0,7.0,4,18,0,9,4,1,1,0.0,0.0,0.0
4-14-9-2-47-1,4,14.0,9.0,2,47,1,42,31,2,1,0.0,0.0,0.0
3-14-6-3-30-0,3,14.0,6.0,3,30,0,30,14,1,1,0.0,0.0,0.0
4-14-5-3-35-1,4,14.0,5.0,3,35,1,37,11,1,1,0.0,0.0,0.0
2-9-3-3-12-2,2,9.0,3.0,3,12,2,28,26,1,1,0.0,0.0,0.0
4-9-0-2-15-0,4,9.0,,2,15,0,10,4,1,1,0.0,0.0,0.0
3-12-6-3-29-1,3,12.0,6.0,3,29,1,42,25,1,1,0.0,0.0,0.0
2-11-9-3-20-2,2,11.0,9.0,3,20,2,37,32,2,1,0.0,0.0,0.0
4-14-4-2-31-0,4,14.0,4.0,2,31,0,34,14,3,1,0.0,0.0,0.0
4-11-0-2-28-0,4,11.0,,2,28,0,11,4,1,1,0.0,0.0,0.0
