signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
4-7-10-3-49,4,7.0,10.0,3,49,22,1,100,0.5,0.05,59.48
3-8-12-2-51,3,8.0,12.0,2,51,36,2,100,0.5,0.05,57.4
4-2-12-3-9,4,2.0,12.0,3,9,4,8,100,0.5,0.05,58.93
3-4-10-4-44,3,4.0,10.0,4,44,36,2,100,0.5,0.05,60.5
3-1-7-3-53,3,1.0,7.0,3,53,46,1,100,0.5,0.05,63.32
3-4-12-4-42,3,4.0,12.0,4,42,36,2,100,0.5,0.05,61.65
3-5-12-4-40,3,5.0,12.0,4,40,36,2,100,0.5,0.05,58.62
3-1-12-3-6,3,1.0,12.0,3,6,0,2,100,0.5,0.05,60.34
5-9-13-2-29,5,9.0,13.0,2,29,15,3,100,0.5,0.05,59.21
4-3-11-2-7,4,3.0,11.0,2,7,0,16,100,0.5,0.05,60.48
3-1-10-3-58,3,1.0,10.0,3,58,41,1,100,0.5,0.05,59.75
2-1-4-4-29,2,1.0,4.0,4,29,24,1,100,0.5,0.05,57.3
2-3-9-4-49,2,3.0,9.0,4,49,36,6,100,0.5,0.05,61.27
3-0-13-4-17,3,0.0,13.0,4,17,11,9,100,0.5,0.05,62.02
2-1-7-3-47,2,1.0,7.0,3,47,42,6,100,0.5,0.05,59.8
4-2-13-4-30,4,2.0,13.0,4,30,25,3,100,0.5,0.05,57.31
4-8-12-3-43,4,8.0,12.0,3,43,22,1,100,0.5,0.05,57.97
4-0-10-3-25,4,0.0,10.0,3,25,14,16,100,0.5,0.05,61.66
5-8-13-2-19,5,8.0,13.0,2,19,4,2,100,0.5,0.05,59.88
3-4-9-3-59,3,4.0,9.0,3,59,36,1,100,0.5,0.05,60.02
2-0-7-2-26,2,0.0,7.0,2,26,21,5,100,0.5,0.05,61.03
4-2-11-4-45,4,2.0,11.0,4,45,21,1,100,0.5,0.05,58.95
5-4-13-3-28,5,4.0,13.0,3,28,11,4,100,0.5,0.05,60.17
5-4-10-3-20,5,4.0,10.0,3,20,0,2,100,0.5,0.05,61.78
3-8-10-2-71,3,8.0,10.0,2,71,46,1,100,0.5,0.05,61.88
3-3-13-5-26,3,3.0,13.0,5,26,21,1,100,0.5,0.05,59.07
3-3-11-4-46,3,3.0,11.0,4,46,32,1,100,0.5,0.05,60.42
3-3-9-3-37,3,3.0,9.0,3,37,22,15,100,0.5,0.05,62.03
3-5-9-4-50,3,5.0,9.0,4,50,36,1,100,0.5,0.05,61.56
5-4-11-1-14,5,4.0,11.0,1,14,4,1,100,0.5,0.05,60.49
5-7-12-2-23,5,7.0,12.0,2,23,0,1,100,0.5,0.05,59.65
4-2-12-4-16,4,2.0,12.0,4,16,10,1,100,0.5,0.05,60.35
5-5-12-3-26,5,5.0,12.0,3,26,10,1,100,0.5,0.05,59.67
5-7-13-2-23,5,7.0,13.0,2,23,10,6,100,0.5,0.05,62.13
3-0-6-4-27,3,0.0,6.0,4,27,19,2,100,0.5,0.05,61.57
3-1-6-5-33,3,1.0,6.0,5,33,25,1,100,0.5,0.05,61.08
2-0-9-3-69,2,0.0,9.0,3,69,56,1,100,0.5,0.05,61.8
4-0-13-4-32,4,0.0,13.0,4,32,25,2,100,0.5,0.05,62.38
4-6-11-2-43,4,6.0,11.0,2,43,26,6,200,0.5,0.035355339059327376,59.93
4-3-13-4-28,4,3.0,13.0,4,28,25,4,100,0.5,0.05,60.08
3-3-7-3-48,3,3.0,7.0,3,48,41,1,100,0.5,0.05,61.26
4-4-12-2-43,4,4.0,12.0,2,43,20,18,500,0.5,0.022360679774997897,59.554
3-0-13-2-47,3,0.0,13.0,2,47,34,12,100,0.5,0.05,59.08
3-6-10-3-44,3,6.0,10.0,3,44,36,7,100,0.5,0.05,62.68
5-7-12-1-26,5,7.0,12.0,1,26,10,1,100,0.5,0.05,59.7
4-0-9-2-17,4,0.0,9.0,2,17,0,25,200,0.5,0.035355339059327376,61.14
4-6-13-3-19,4,6.0,13.0,3,19,15,5,100,0.5,0.05,59.98
3-1-12-2-45,3,1.0,12.0,2,45,31,11,100,0.5,0.05,60.32
3-1-6-4-19,3,1.0,6.0,4,19,11,1,100,0.5,0.05,62.47
3-4-11-2-48,3,4.0,11.0,2,48,35,11,200,0.5,0.035355339059327376,60.67
3-2-8-4-34,3,2.0,8.0,4,34,18,2,100,0.5,0.05,59.39
4-1-10-4-29,4,1.0,10.0,4,29,10,2,100,0.5,0.05,61.76
3-2-13-4-24,3,2.0,13.0,4,24,19,8,100,0.5,0.05,59.63
4-4-11-3-35,4,4.0,11.0,3,35,21,12,100,0.5,0.05,59.54
2-0-5-3-47,2,0.0,5.0,3,47,42,2,100,0.5,0.05,62.23
5-5-13-3-33,5,5.0,13.0,3,33,10,3,100,0.5,0.05,64.97
4-1-13-3-34,4,1.0,13.0,3,34,25,35,500,0.5,0.022360679774997897,61.566
3-7-11-2-39,3,7.0,11.0,2,39,26,9,100,0.5,0.05,60.92
2-2-6-3-35,2,2.0,6.0,3,35,30,5,100,0.5,0.05,59.18
3-0-6-2-31,3,0.0,6.0,2,31,24,15,400,0.5,0.025,62.2325
3-4-11-2-43,3,4.0,11.0,2,43,30,8,100,0.5,0.05,61.09
3-3-6-4-31,3,3.0,6.0,4,31,24,1,100,0.5,0.05,60.39
2-1-4-2-47,2,1.0,4.0,2,47,42,2,100,0.5,0.05,60.79
3-0-9-3-45,3,0.0,9.0,3,45,21,24,200,0.5,0.035355339059327376,62.43
3-4-11-2-33,3,4.0,11.0,2,33,21,24,300,0.5,0.02886751345948129,60.18666666666667
5-5-10-1-37,5,5.0,10.0,1,37,8,1,100,0.5,0.05,62.27
2-3-10-3-49,2,3.0,10.0,3,49,42,2,100,0.5,0.05,59.62
3-5-10-2-47,3,5.0,10.0,2,47,31,9,100,0.5,0.05,59.61
2-3-6-2-41,2,3.0,6.0,2,41,36,5,100,0.5,0.05,57.04
4-4-10-4-30,4,4.0,10.0,4,30,11,1,100,0.5,0.05,59.05
4-3-10-3-30,4,3.0,10.0,3,30,11,18,100,0.5,0.05,62.09
3-5-8-2-34,3,5.0,8.0,2,34,19,6,100,0.5,0.05,59.83
4-1-10-3-38,4,1.0,10.0,3,38,18,14,400,0.5,0.025,60.3525
3-0-8-2-36,3,0.0,8.0,2,36,19,23,100,0.5,0.05,62.41
3-1-7-3-35,3,1.0,7.0,3,35,28,4,100,0.5,0.05,59.12
2-0-1-2-32,2,0.0,1.0,2,32,26,5,100,0.5,0.05,63.96
4-2-9-2-64,4,2.0,9.0,2,64,37,2,100,0.5,0.05,59.98
4-3-11-4-37,4,3.0,11.0,4,37,21,4,100,0.5,0.05,57.42
4-9-12-3-25,4,9.0,12.0,3,25,11,2,100,0.5,0.05,58.95
3-6-10-2-58,3,6.0,10.0,2,58,42,3,100,0.5,0.05,62.49
3-7-9-3-59,3,7.0,9.0,3,59,36,3,100,0.5,0.05,59.6
2-2-11-2-22,2,2.0,11.0,2,22,19,4,100,0.5,0.05,57.95
4-5-11-4-21,4,5.0,11.0,4,21,15,1,100,0.5,0.05,60.35
2-1-3-5-35,2,1.0,3.0,5,35,29,1,100,0.5,0.05,60.39
2-3-12-4-45,2,3.0,12.0,4,45,42,2,100,0.5,0.05,59.42
4-5-8-2-41,4,5.0,8.0,2,41,24,1,100,0.5,0.05,59.33
3-3-12-4-37,3,3.0,12.0,4,37,32,2,100,0.5,0.05,61.17
5-5-11-1-32,5,5.0,11.0,1,32,14,3,100,0.5,0.05,59.81
3-10-13-2-56,3,10.0,13.0,2,56,52,1,100,0.5,0.05,62.07
2-1-4-5-40,2,1.0,4.0,5,40,35,1,100,0.5,0.05,59.01
3-2-8-4-36,3,2.0,8.0,4,36,20,1,100,0.5,0.05,57.69
3-2-9-3-59,3,2.0,9.0,3,59,35,2,100,0.5,0.05,62.17
2-0-11-4-29,2,0.0,11.0,4,29,26,5,100,0.5,0.05,60.59
3-0-6-3-12,3,0.0,6.0,3,12,4,17,200,0.5,0.035355339059327376,61.685
2-5-11-3-34,2,5.0,11.0,3,34,32,12,100,0.5,0.05,55.8
3-4-9-2-40,3,4.0,9.0,2,40,26,9,100,0.5,0.05,61.41
3-4-7-3-37,3,4.0,7.0,3,37,31,10,100,0.5,0.05,59.97
4-4-8-2-41,4,4.0,8.0,2,41,24,7,100,0.5,0.05,62.11
5-5-12-1-20,5,5.0,12.0,1,20,4,2,100,0.5,0.05,59.73
3-11-13-2-26,3,11.0,13.0,2,26,26,5,100,0.5,0.05,62.07
2-0-5-4-37,2,0.0,5.0,4,37,32,5,100,0.5,0.05,61.61
2-1-8-4-47,2,1.0,8.0,4,47,33,1,100,0.5,0.05,58.14
4-4-9-3-36,4,4.0,9.0,3,36,20,6,100,0.5,0.05,58.85
5-4-12-3-12,5,4.0,12.0,3,12,4,2,100,0.5,0.05,60.4
3-7-13-2-39,3,7.0,13.0,2,39,26,5,100,0.5,0.05,59.28
2-1-6-4-31,2,1.0,6.0,4,31,26,3,100,0.5,0.05,60.04
3-3-9-3-54,3,3.0,9.0,3,54,39,2,100,0.5,0.05,59.29
4-2-12-3-44,4,2.0,12.0,3,44,20,3,100,0.5,0.05,61.73
3-2-12-2-39,3,2.0,12.0,2,39,26,21,300,0.5,0.02886751345948129,60.35333333333333
4-3-13-3-31,4,3.0,13.0,3,31,15,20,100,0.5,0.05,60.89
2-1-11-3-25,2,1.0,11.0,3,25,22,13,100,0.5,0.05,57.0
4-3-12-2-53,4,3.0,12.0,2,53,29,5,100,0.5,0.05,60.56
3-9-11-2-56,3,9.0,11.0,2,56,42,6,100,0.5,0.05,59.62
2-4-8-2-55,2,4.0,8.0,2,55,42,1,100,0.5,0.05,59.15
4-1-12-3-17,4,1.0,12.0,3,17,11,32,300,0.5,0.02886751345948129,60.78
4-1-11-3-20,4,1.0,11.0,3,20,4,22,400,0.5,0.025,61.7325
2-0-8-5-40,2,0.0,8.0,5,40,26,1,100,0.5,0.05,57.63
4-4-11-3-47,4,4.0,11.0,3,47,31,2,100,0.5,0.05,59.87
3-1-5-4-29,3,1.0,5.0,4,29,21,7,100,0.5,0.05,61.83
4-2-10-3-22,4,2.0,10.0,3,22,10,12,200,0.5,0.035355339059327376,61.01
2-8-12-2-53,2,8.0,12.0,2,53,42,2,100,0.5,0.05,60.8
4-6-10-4-40,4,6.0,10.0,4,40,21,1,100,0.5,0.05,58.22
3-2-6-3-23,3,2.0,6.0,3,23,15,10,100,0.5,0.05,60.15
4-2-11-3-27,4,2.0,11.0,3,27,11,21,400,0.5,0.025,59.75
3-5-9-2-35,3,5.0,9.0,2,35,21,17,100,0.5,0.05,59.86
4-4-13-3-39,4,4.0,13.0,3,39,31,14,100,0.5,0.05,58.82
4-2-10-4-21,4,2.0,10.0,4,21,10,1,100,0.5,0.05,63.17
3-9-11-2-50,3,9.0,11.0,2,50,36,4,100,0.5,0.05,60.66
3-5-13-4-34,3,5.0,13.0,4,34,32,2,100,0.5,0.05,59.32
2-0-2-4-21,2,0.0,2.0,4,21,15,5,100,0.5,0.05,59.81
5-5-13-1-28,5,5.0,13.0,1,28,14,14,100,0.5,0.05,59.62
2-6-7-2-30,2,6.0,7.0,2,30,26,5,100,0.5,0.05,60.98
2-1-13-2-38,2,1.0,13.0,2,38,35,3,100,0.5,0.05,56.05
2-0-12-3-35,2,0.0,12.0,3,35,32,15,200,0.5,0.035355339059327376,59.7
4-0-8-3-22,4,0.0,8.0,3,22,4,18,100,0.5,0.05,62.72
3-0-8-4-20,3,0.0,8.0,4,20,4,4,100,0.5,0.05,58.3
3-2-4-2-26,3,2.0,4.0,2,26,18,5,100,0.5,0.05,63.93
2-1-9-3-43,2,1.0,9.0,3,43,30,7,100,0.5,0.05,58.94
3-0-9-3-35,3,0.0,9.0,3,35,11,27,1100,0.5,0.01507556722888818,60.404545454545456
3-0-5-2-15,3,0.0,5.0,2,15,8,5,400,0.5,0.025,59.5275
3-5-10-2-33,3,5.0,10.0,2,33,25,29,200,0.5,0.035355339059327376,57.09
3-0-5-2-21,3,0.0,5.0,2,21,14,6,100,0.5,0.05,61.68
3-4-10-3-43,3,4.0,10.0,3,43,26,10,100,0.5,0.05,62.08
2-1-3-2-36,2,1.0,3.0,2,36,30,2,200,0.5,0.035355339059327376,60.215
3-7-11-2-45,3,7.0,11.0,2,45,32,4,100,0.5,0.05,63.2
2-1-2-2-38,2,1.0,2.0,2,38,32,6,300,0.5,0.02886751345948129,61.623333333333335
4-6-10-3-39,4,6.0,10.0,3,39,21,2,100,0.5,0.05,60.2
2-1-11-2-53,2,1.0,11.0,2,53,50,1,100,0.5,0.05,60.95
4-2-13-3-35,4,2.0,13.0,3,35,21,22,400,0.5,0.025,59.665
2-3-4-3-57,2,3.0,4.0,3,57,52,1,100,0.5,0.05,60.75
4-2-12-4-43,4,2.0,12.0,4,43,25,1,100,0.5,0.05,60.63
4-4-9-2-31,4,4.0,9.0,2,31,15,17,200,0.5,0.035355339059327376,60.625
2-1-6-3-45,2,1.0,6.0,3,45,40,5,100,0.5,0.05,60.67
3-1-9-3-41,3,1.0,9.0,3,41,25,43,900,0.5,0.016666666666666666,60.87444444444444
4-1-13-4-39,4,1.0,13.0,4,39,21,1,100,0.5,0.05,61.21
5-1-13-1-9,5,1.0,13.0,1,9,0,13,100,0.5,0.05,58.16
2-0-8-2-60,2,0.0,8.0,2,60,46,1,100,0.5,0.05,59.77
4-4-11-3-28,4,4.0,11.0,3,28,14,24,200,0.5,0.035355339059327376,60.365
4-8-11-2-40,4,8.0,11.0,2,40,15,11,200,0.5,0.035355339059327376,57.43
3-0-9-2-36,3,0.0,9.0,2,36,20,63,1000,0.5,0.015811388300841896,61.794
4-6-12-2-37,4,6.0,12.0,2,37,24,28,200,0.5,0.035355339059327376,59.74
4-1-11-3-11,4,1.0,11.0,3,11,4,8,100,0.5,0.05,62.24
4-8-12-2-51,4,8.0,12.0,2,51,26,1,100,0.5,0.05,60.93
3-1-11-4-36,3,1.0,11.0,4,36,31,3,100,0.5,0.05,62.17
3-1-5-2-25,3,1.0,5.0,2,25,18,5,100,0.5,0.05,60.66
3-3-7-3-33,3,3.0,7.0,3,33,26,16,300,0.5,0.02886751345948129,61.21
4-4-10-2-43,4,4.0,10.0,2,43,24,25,400,0.5,0.025,60.385
3-1-12-3-44,3,1.0,12.0,3,44,31,5,100,0.5,0.05,56.51
3-4-11-4-35,3,4.0,11.0,4,35,22,5,100,0.5,0.05,61.2
4-4-7-2-19,4,4.0,7.0,2,19,11,7,100,0.5,0.05,59.73
2-1-6-2-27,2,1.0,6.0,2,27,22,2,100,0.5,0.05,62.66
5-4-13-3-31,5,4.0,13.0,3,31,14,5,100,0.5,0.05,58.9
2-3-11-2-39,2,3.0,11.0,2,39,36,5,200,0.5,0.035355339059327376,58.85
2-2-8-3-46,2,2.0,8.0,3,46,32,11,100,0.5,0.05,63.75
3-0-6-3-15,3,0.0,6.0,3,15,8,8,100,0.5,0.05,59.88
4-3-9-4-31,4,3.0,9.0,4,31,14,2,100,0.5,0.05,61.18
3-1-11-3-50,3,1.0,11.0,3,50,36,5,100,0.5,0.05,59.38
5-7-13-2-22,5,7.0,13.0,2,22,10,4,100,0.5,0.05,61.4
3-3-7-2-36,3,3.0,7.0,2,36,29,13,300,0.5,0.02886751345948129,59.473333333333336
4-2-13-2-10,4,2.0,13.0,2,10,4,15,300,0.5,0.02886751345948129,59.123333333333335
3-1-7-4-29,3,1.0,7.0,4,29,21,7,100,0.5,0.05,62.02
3-4-9-2-45,3,4.0,9.0,2,45,31,12,100,0.5,0.05,59.94
2-10-12-2-44,2,10.0,12.0,2,44,40,2,100,0.5,0.05,57.65
4-7-10-2-38,4,7.0,10.0,2,38,11,6,200,0.5,0.035355339059327376,58.745
5-3-10-1-25,5,3.0,10.0,1,25,4,4,100,0.5,0.05,61.48
5-4-11-1-24,5,4.0,11.0,1,24,14,2,100,0.5,0.05,61.99
2-4-8-3-55,2,4.0,8.0,3,55,42,6,100,0.5,0.05,57.06
4-3-9-3-42,4,3.0,9.0,3,42,25,13,100,0.5,0.05,62.28
2-3-12-4-35,2,3.0,12.0,4,35,32,3,100,0.5,0.05,60.7
4-1-11-2-46,4,1.0,11.0,2,46,30,15,100,0.5,0.05,61.35
5-6-13-3-29,5,6.0,13.0,3,29,10,2,100,0.5,0.05,59.57
3-2-10-2-54,3,2.0,10.0,2,54,36,6,100,0.5,0.05,62.22
3-3-11-2-46,3,3.0,11.0,2,46,32,10,100,0.5,0.05,62.28
3-3-13-2-31,3,3.0,13.0,2,31,26,27,500,0.5,0.022360679774997897,61.906
3-2-9-2-42,3,2.0,9.0,2,42,26,11,200,0.5,0.035355339059327376,59.605
5-4-12-1-41,5,4.0,12.0,1,41,14,3,100,0.5,0.05,62.29
3-2-11-4-31,3,2.0,11.0,4,31,26,12,100,0.5,0.05,61.95
3-0-13-4-26,3,0.0,13.0,4,26,21,12,100,0.5,0.05,61.84
4-1-9-2-21,4,1.0,9.0,2,21,4,36,600,0.5,0.020412414523193152,60.94166666666667
2-0-1-5-31,2,0.0,1.0,5,31,25,5,100,0.5,0.05,62.48
3-3-6-3-42,3,3.0,6.0,3,42,35,9,500,0.5,0.022360679774997897,61.252
3-2-12-2-41,3,2.0,12.0,2,41,36,24,200,0.5,0.035355339059327376,61.705
3-6-8-2-41,3,6.0,8.0,2,41,26,4,100,0.5,0.05,60.77
3-1-10-3-47,3,1.0,10.0,3,47,30,7,100,0.5,0.05,61.67
3-2-12-2-53,3,2.0,12.0,2,53,39,2,100,0.5,0.05,62.15
3-7-11-2-48,3,7.0,11.0,2,48,36,11,100,0.5,0.05,60.1
3-7-12-3-52,3,7.0,12.0,3,52,46,1,100,0.5,0.05,62.64
2-0-10-2-33,2,0.0,10.0,2,33,26,5,100,0.5,0.05,60.69
3-0-10-4-44,3,0.0,10.0,4,44,35,1,100,0.5,0.05,60.43
4-6-10-3-38,4,6.0,10.0,3,38,19,3,100,0.5,0.05,56.71
3-2-6-3-27,3,2.0,6.0,3,27,19,11,200,0.5,0.035355339059327376,62.62
4-3-7-3-23,4,3.0,7.0,3,23,14,6,100,0.5,0.05,61.56
3-5-7-2-32,3,5.0,7.0,2,32,26,3,100,0.5,0.05,63.82
2-1-2-4-32,2,1.0,2.0,4,32,26,3,100,0.5,0.05,60.88
4-4-11-2-32,4,4.0,11.0,2,32,15,26,400,0.5,0.025,61.3275
4-2-13-3-5,4,2.0,13.0,3,5,0,6,100,0.5,0.05,60.09
4-3-8-2-22,4,3.0,8.0,2,22,4,34,700,0.5,0.01889822365046136,60.754285714285714
2-2-4-4-37,2,2.0,4.0,4,37,32,7,100,0.5,0.05,61.25
3-4-12-2-47,3,4.0,12.0,2,47,41,3,100,0.5,0.05,58.33
5-3-12-1-21,5,3.0,12.0,1,21,4,15,100,0.5,0.05,62.02
3-3-5-3-29,3,3.0,5.0,3,29,22,4,100,0.5,0.05,63.15
2-2-6-3-44,2,2.0,6.0,3,44,39,4,100,0.5,0.05,59.93
2-1-6-3-37,2,1.0,6.0,3,37,32,19,300,0.5,0.02886751345948129,61.05
4-4-13-2-46,4,4.0,13.0,2,46,31,16,100,0.5,0.05,59.22
3-7-11-3-45,3,7.0,11.0,3,45,32,8,100,0.5,0.05,60.46
3-11-13-3-46,3,11.0,13.0,3,46,46,1,100,0.5,0.05,63.32
4-7-11-3-55,4,7.0,11.0,3,55,32,2,100,0.5,0.05,63.96
3-3-9-3-56,3,3.0,9.0,3,56,32,5,100,0.5,0.05,60.61
2-1-2-4-41,2,1.0,2.0,4,41,35,5,100,0.5,0.05,58.26
3-1-10-3-35,3,1.0,10.0,3,35,25,63,1400,0.4992857142857143,0.013363048459836614,60.79071428571429
4-0-13-2-7,4,0.0,13.0,2,7,0,39,1300,0.4984615384615384,0.013867439260481718,60.75846153846154
4-1-13-3-21,4,1.0,13.0,3,21,15,59,1200,0.49833333333333335,0.014433676541980514,60.66916666666667
4-7-12-2-37,4,7.0,12.0,2,37,24,23,500,0.498,0.02236050088884415,59.878
3-0-12-3-39,3,0.0,12.0,3,39,25,28,500,0.498,0.02236050088884415,61.07
4-1-10-2-29,4,1.0,10.0,2,29,10,54,1000,0.498,0.01581126180922952,61.42
3-0-8-2-31,3,0.0,8.0,2,31,14,68,1000,0.498,0.01581126180922952,61.353
3-2-11-2-35,3,2.0,11.0,2,35,21,27,400,0.4975,0.02499968749804685,60.845
3-1-11-2-40,3,1.0,11.0,2,40,35,15,400,0.4975,0.02499968749804685,62.5125
4-2-12-2-8,4,2.0,12.0,2,8,0,17,400,0.4975,0.02499968749804685,60.7225
3-1-8-4-41,3,1.0,8.0,4,41,25,17,400,0.4975,0.02499968749804685,60.3475
4-0-9-2-21,4,0.0,9.0,2,21,4,34,400,0.4975,0.02499968749804685,60.795
3-2-8-2-27,3,2.0,8.0,2,27,11,33,400,0.4975,0.02499968749804685,58.5575
3-1-9-2-41,3,1.0,9.0,2,41,25,42,400,0.4975,0.02499968749804685,61.5625
4-2-12-3-27,4,2.0,12.0,3,27,14,26,400,0.4975,0.02499968749804685,61.01
3-0-9-2-34,3,0.0,9.0,2,34,18,43,400,0.4975,0.02499968749804685,59.5925
3-1-13-2-48,3,1.0,13.0,2,48,42,12,400,0.4975,0.02499968749804685,60.8675
3-0-6-3-26,3,0.0,6.0,3,26,19,22,400,0.4975,0.02499968749804685,62.725
3-0-8-3-31,3,0.0,8.0,3,31,15,81,1300,0.4969230769230769,0.013867242323170173,60.699230769230766
3-0-10-3-36,3,0.0,10.0,3,36,26,22,600,0.4966666666666666,0.02041196090894131,61.17166666666667
5-3-12-2-19,5,3.0,12.0,2,19,8,36,300,0.4966666666666666,0.02886687195205425,61.21333333333333
3-3-10-3-45,3,3.0,10.0,3,45,36,15,300,0.4966666666666666,0.02886687195205425,62.88333333333333
5-5-13-2-8,5,5.0,13.0,2,8,0,13,300,0.4966666666666666,0.02886687195205425,58.95666666666666
3-3-8-2-46,3,3.0,8.0,2,46,30,14,300,0.4966666666666666,0.02886687195205425,61.20333333333333
3-0-10-2-36,3,0.0,10.0,2,36,19,31,600,0.4966666666666666,0.02041196090894131,60.83166666666666
4-3-12-3-24,4,3.0,12.0,3,24,15,18,300,0.4966666666666666,0.02886687195205425,59.53666666666667
3-1-11-2-30,3,1.0,11.0,2,30,25,47,300,0.4966666666666666,0.02886687195205425,59.95666666666666
4-5-12-2-35,4,5.0,12.0,2,35,18,37,600,0.4966666666666666,0.02041196090894131,60.43833333333333
5-5-13-1-22,5,5.0,13.0,1,22,4,8,300,0.4966666666666666,0.02886687195205425,58.36333333333334
4-3-11-3-32,4,3.0,11.0,3,32,25,17,300,0.4966666666666666,0.02886687195205425,60.23
2-2-3-3-41,2,2.0,3.0,3,41,35,15,300,0.4966666666666666,0.02886687195205425,59.27
3-5-8-2-47,3,5.0,8.0,2,47,32,8,300,0.4966666666666666,0.02886687195205425,60.84
4-3-13-2-22,4,3.0,13.0,2,22,8,67,1200,0.4966666666666666,0.014433435976027125,59.92166666666667
4-5-11-2-29,4,5.0,11.0,2,29,15,42,1100,0.4963636363636363,0.015075168530929026,59.846363636363634
4-3-12-2-27,4,3.0,12.0,2,27,11,71,1100,0.4963636363636363,0.015075168530929026,59.554545454545455
4-3-13-2-29,4,3.0,13.0,2,29,14,114,1900,0.4963157894736842,0.011470475293983836,60.47684210526316
4-4-13-2-25,4,4.0,13.0,2,25,11,98,2000,0.496,0.011179982110898032,60.0985
3-4-9-2-46,3,4.0,9.0,2,46,32,17,500,0.496,0.022359964221796064,59.826
3-1-13-3-43,3,1.0,13.0,3,43,29,13,500,0.496,0.022359964221796064,60.792
4-2-12-3-28,4,2.0,12.0,3,28,20,39,500,0.496,0.022359964221796064,60.904
3-1-11-3-27,3,1.0,11.0,3,27,14,47,700,0.4957142857142857,0.018897529417249277,60.49142857142857
3-0-13-2-24,3,0.0,13.0,2,24,10,66,700,0.4957142857142857,0.018897529417249277,59.46857142857143
3-1-13-3-26,3,1.0,13.0,3,26,20,77,1100,0.4954545454545455,0.015074944258693122,60.22272727272728
3-4-11-3-36,3,4.0,11.0,3,36,32,17,200,0.495,0.03535357124817803,62.39
3-0-7-2-44,3,0.0,7.0,2,44,37,13,200,0.495,0.03535357124817803,60.845
4-5-11-2-31,4,5.0,11.0,2,31,14,18,400,0.495,0.02499874996874844,60.21
3-1-11-2-35,3,1.0,11.0,2,35,22,44,800,0.495,0.017676785624089014,60.3725
3-3-11-2-39,3,3.0,11.0,2,39,26,26,400,0.495,0.02499874996874844,60.605
3-2-12-3-35,3,2.0,12.0,3,35,21,24,400,0.495,0.02499874996874844,60.9125
4-7-11-2-38,4,7.0,11.0,2,38,22,17,200,0.495,0.03535357124817803,62.835
4-2-10-3-40,4,2.0,10.0,3,40,21,22,200,0.495,0.03535357124817803,61.535
4-6-13-3-39,4,6.0,13.0,3,39,26,9,200,0.495,0.03535357124817803,61.205
3-1-10-4-31,3,1.0,10.0,4,31,21,5,200,0.495,0.03535357124817803,61.545
4-4-10-2-44,4,4.0,10.0,2,44,25,16,200,0.495,0.03535357124817803,61.28
3-3-5-3-36,3,3.0,5.0,3,36,29,6,200,0.495,0.03535357124817803,60.78
4-3-7-3-13,4,3.0,7.0,3,13,4,5,200,0.495,0.03535357124817803,61.56
4-0-10-3-21,4,0.0,10.0,3,21,10,13,200,0.495,0.03535357124817803,61.445
3-0-13-2-49,3,0.0,13.0,2,49,43,7,200,0.495,0.03535357124817803,59.15
2-1-5-2-35,2,1.0,5.0,2,35,30,3,200,0.495,0.03535357124817803,61.765
4-2-10-3-34,4,2.0,10.0,3,34,14,29,600,0.495,0.020411393876950196,61.63
3-3-13-2-26,3,3.0,13.0,2,26,21,58,600,0.495,0.020411393876950196,60.41833333333334
4-6-11-2-42,4,6.0,11.0,2,42,25,13,400,0.495,0.02499874996874844,59.0975
3-2-5-3-37,3,2.0,5.0,3,37,29,10,200,0.495,0.03535357124817803,61.86
5-6-12-2-41,5,6.0,12.0,2,41,14,4,200,0.495,0.03535357124817803,62.81
5-4-12-2-10,5,4.0,12.0,2,10,4,13,200,0.495,0.03535357124817803,59.875
2-1-4-3-44,2,1.0,4.0,3,44,39,5,200,0.495,0.03535357124817803,59.88
2-0-5-3-27,2,0.0,5.0,3,27,22,7,400,0.495,0.02499874996874844,59.3975
4-3-9-3-36,4,3.0,9.0,3,36,19,9,200,0.495,0.03535357124817803,58.375
5-2-13-1-13,5,2.0,13.0,1,13,4,9,200,0.495,0.03535357124817803,61.735
2-0-7-3-35,2,0.0,7.0,3,35,30,9,200,0.495,0.03535357124817803,61.9
4-4-8-2-27,4,4.0,8.0,2,27,10,16,200,0.495,0.03535357124817803,60.455
4-3-8-2-32,4,3.0,8.0,2,32,14,47,600,0.495,0.020411393876950196,60.86
2-0-13-3-39,2,0.0,13.0,3,39,36,16,200,0.495,0.03535357124817803,62.53
3-1-8-3-36,3,1.0,8.0,3,36,20,15,200,0.495,0.03535357124817803,59.48
4-2-9-3-40,4,2.0,9.0,3,40,14,18,400,0.495,0.02499874996874844,60.4525
3-0-6-2-8,3,0.0,6.0,2,8,0,6,200,0.495,0.03535357124817803,59.62
4-3-10-2-25,4,3.0,10.0,2,25,14,56,700,0.4942857142857143,0.018896989440451525,60.72714285714286
3-1-9-2-31,3,1.0,9.0,2,31,15,19,700,0.4942857142857143,0.018896989440451525,60.997142857142855
4-2-9-2-31,4,2.0,9.0,2,31,14,42,700,0.4942857142857143,0.018896989440451525,60.95142857142857
4-2-10-2-30,4,2.0,10.0,2,30,11,62,500,0.494,0.02235906974809104,60.35
4-3-13-2-32,4,3.0,13.0,2,32,8,66,1000,0.494,0.015810249839898167,60.069
