signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
4-0-10-3-47,4,0.0,10.0,3,47,35,9,100,0.78,0.04142463035441595,79.1
5-5-10-2-52,5,5.0,10.0,2,52,31,1,100,0.78,0.04142463035441595,77.48
5-2-13-2-46,5,2.0,13.0,2,46,26,7,100,0.78,0.04142463035441595,76.64
6-0-13-1-8,6,0.0,13.0,1,8,0,11,100,0.78,0.04142463035441595,79.31
4-2-7-3-45,4,2.0,7.0,3,45,36,3,100,0.78,0.04142463035441595,77.83
6-4-12-1-31,6,4.0,12.0,1,31,10,5,200,0.78,0.029291637031753616,75.255
6-1-13-2-19,6,1.0,13.0,2,19,0,23,400,0.78,0.020712315177207976,76.235
6-3-11-2-23,6,3.0,11.0,2,23,10,3,100,0.78,0.04142463035441595,74.66
6-1-12-2-32,6,1.0,12.0,2,32,10,17,100,0.78,0.04142463035441595,78.38
6-4-13-2-44,6,4.0,13.0,2,44,15,1,100,0.78,0.04142463035441595,77.21
3-1-6-3-44,3,1.0,6.0,3,44,36,8,100,0.78,0.04142463035441595,77.65
3-0-7-2-34,3,0.0,7.0,2,34,26,9,100,0.78,0.04142463035441595,77.51
5-0-12-2-48,5,0.0,12.0,2,48,21,9,100,0.78,0.04142463035441595,76.87
6-1-11-1-50,6,1.0,11.0,1,50,20,1,100,0.78,0.04142463035441595,76.95
6-4-10-1-37,6,4.0,10.0,1,37,14,1,100,0.78,0.04142463035441595,77.12
6-3-11-1-44,6,3.0,11.0,1,44,14,2,100,0.78,0.04142463035441595,75.94
6-3-11-2-36,6,3.0,11.0,2,36,14,2,100,0.78,0.04142463035441595,78.29
3-0-4-2-44,3,0.0,4.0,2,44,36,9,100,0.78,0.04142463035441595,80.78
3-1-3-2-41,3,1.0,3.0,2,41,32,6,100,0.78,0.04142463035441595,78.57
5-2-6-2-22,5,2.0,6.0,2,22,10,1,100,0.78,0.04142463035441595,74.91
5-0-11-1-14,5,0.0,11.0,1,14,4,13,200,0.78,0.029291637031753616,77.255
5-1-11-2-39,5,1.0,11.0,2,39,21,29,500,0.78,0.018525657883055057,79.596
6-2-12-1-30,6,2.0,12.0,1,30,10,27,200,0.78,0.029291637031753616,75.76
6-3-12-2-9,6,3.0,12.0,2,9,0,1,100,0.78,0.04142463035441595,77.26
5-0-10-3-28,5,0.0,10.0,3,28,14,9,100,0.78,0.04142463035441595,76.94
5-3-11-1-44,5,3.0,11.0,1,44,25,3,100,0.78,0.04142463035441595,74.76
5-1-6-1-26,5,1.0,6.0,1,26,14,3,100,0.78,0.04142463035441595,79.82
5-1-8-3-41,5,1.0,8.0,3,41,21,2,100,0.78,0.04142463035441595,79.15
5-2-11-3-20,5,2.0,11.0,3,20,11,3,100,0.78,0.04142463035441595,74.16
3-0-2-2-34,3,0.0,2.0,2,34,25,11,100,0.78,0.04142463035441595,78.34
5-1-8-3-37,5,1.0,8.0,3,37,15,2,100,0.78,0.04142463035441595,82.02
5-3-13-2-58,5,3.0,13.0,2,58,32,1,100,0.78,0.04142463035441595,79.07
4-2-7-2-40,4,2.0,7.0,2,40,31,13,100,0.78,0.04142463035441595,74.64
5-5-13-2-47,5,5.0,13.0,2,47,31,2,100,0.78,0.04142463035441595,75.77
6-5-13-2-46,6,5.0,13.0,2,46,21,1,100,0.78,0.04142463035441595,78.4
5-2-13-1-36,5,2.0,13.0,1,36,20,17,400,0.78,0.020712315177207976,77.37
5-0-10-3-30,5,0.0,10.0,3,30,15,3,100,0.78,0.04142463035441595,79.75
6-5-10-1-31,6,5.0,10.0,1,31,0,1,100,0.78,0.04142463035441595,74.83
5-0-12-3-35,5,0.0,12.0,3,35,25,2,100,0.78,0.04142463035441595,80.33
6-4-13-1-17,6,4.0,13.0,1,17,0,7,100,0.78,0.04142463035441595,74.28
5-0-12-1-27,5,0.0,12.0,1,27,15,26,200,0.78,0.029291637031753616,78.35
5-1-11-1-51,5,1.0,11.0,1,51,25,4,100,0.78,0.04142463035441595,77.48
5-1-11-3-14,5,1.0,11.0,3,14,4,5,100,0.78,0.04142463035441595,75.49
6-2-9-2-30,6,2.0,9.0,2,30,0,2,100,0.78,0.04142463035441595,79.52
5-5-9-1-42,5,5.0,9.0,1,42,15,1,100,0.78,0.04142463035441595,76.51
4-2-6-3-32,4,2.0,6.0,3,32,22,2,100,0.78,0.04142463035441595,76.55
4-2-11-3-43,4,2.0,11.0,3,43,36,6,100,0.78,0.04142463035441595,76.29
4-1-6-2-25,4,1.0,6.0,2,25,15,27,700,0.78,0.015657038581508863,75.84571428571428
4-1-5-3-31,4,1.0,5.0,3,31,21,3,100,0.78,0.04142463035441595,78.74
4-0-5-2-10,4,0.0,5.0,2,10,0,7,100,0.78,0.04142463035441595,77.08
5-2-13-1-46,5,2.0,13.0,1,46,22,4,100,0.78,0.04142463035441595,79.44
5-4-9-2-43,5,4.0,9.0,2,43,25,1,100,0.78,0.04142463035441595,77.38
3-0-7-2-54,3,0.0,7.0,2,54,46,2,100,0.78,0.04142463035441595,76.6
5-3-11-2-37,5,3.0,11.0,2,37,11,8,100,0.78,0.04142463035441595,74.27
4-0-11-2-53,4,0.0,11.0,2,53,36,5,100,0.78,0.04142463035441595,76.05
4-3-7-2-31,4,3.0,7.0,2,31,22,6,300,0.78,0.023916521486202793,76.32
5-5-13-2-50,5,5.0,13.0,2,50,31,1,100,0.78,0.04142463035441595,77.05
4-0-12-2-48,4,0.0,12.0,2,48,32,28,400,0.78,0.020712315177207976,78.8425
6-2-12-2-36,6,2.0,12.0,2,36,15,1,100,0.78,0.04142463035441595,77.68
6-5-12-2-42,6,5.0,12.0,2,42,15,1,100,0.78,0.04142463035441595,76.46
6-3-12-2-27,6,3.0,12.0,2,27,10,1,100,0.78,0.04142463035441595,78.05
3-0-3-2-48,3,0.0,3.0,2,48,39,1,100,0.78,0.04142463035441595,75.59
4-4-7-2-30,4,4.0,7.0,2,30,22,1,100,0.78,0.04142463035441595,72.94
5-0-9-3-34,5,0.0,9.0,3,34,4,4,100,0.78,0.04142463035441595,80.31
4-0-10-3-28,4,0.0,10.0,3,28,15,11,100,0.78,0.04142463035441595,78.7
5-1-12-3-32,5,1.0,12.0,3,32,15,8,100,0.78,0.04142463035441595,74.74
7-4-13-1-10,7,4.0,13.0,1,10,0,1,100,0.78,0.04142463035441595,77.14
5-0-12-2-30,5,0.0,12.0,2,30,20,159,3200,0.7796875,0.007326640224715683,77.5984375
5-0-10-2-33,5,0.0,10.0,2,33,11,82,2200,0.7795454545454545,0.008838303489074627,77.72909090909091
5-0-13-1-23,5,0.0,13.0,1,23,4,45,800,0.77875,0.014675593578285,78.235
5-0-11-2-25,5,0.0,11.0,2,25,14,78,1200,0.7783333333333333,0.011990640640222814,77.655
5-0-10-2-42,5,0.0,10.0,2,42,20,29,500,0.778,0.018585801031970613,78.112
5-1-12-2-41,5,1.0,12.0,2,41,21,36,700,0.7771428571428571,0.015729491715277745,78.0
5-0-13-2-37,5,0.0,13.0,2,37,20,62,1000,0.777,0.013163244280951409,77.377
5-0-12-2-47,5,0.0,12.0,2,47,21,9,300,0.7766666666666666,0.02404548159603349,77.85333333333334
5-0-11-2-32,5,0.0,11.0,2,32,15,86,900,0.7766666666666666,0.013882665272264127,78.07777777777778
5-1-11-2-43,5,1.0,11.0,2,43,15,13,300,0.7766666666666666,0.02404548159603349,78.42
5-1-13-2-40,5,1.0,13.0,2,40,14,64,1700,0.7764705882352941,0.010104280218298593,77.06705882352941
5-0-9-2-39,5,0.0,9.0,2,39,10,52,1500,0.776,0.010764881172900455,77.87533333333333
4-0-5-3-22,4,0.0,5.0,3,22,11,3,200,0.775,0.02952752952754429,80.005
5-0-9-2-24,5,0.0,9.0,2,24,4,33,400,0.775,0.02087911636061258,77.0325
4-0-6-2-30,4,0.0,6.0,2,30,20,18,200,0.775,0.02952752952754429,77.745
5-1-9-2-49,5,1.0,9.0,2,49,21,17,200,0.775,0.02952752952754429,76.29
6-3-13-2-23,6,3.0,13.0,2,23,4,7,200,0.775,0.02952752952754429,75.62
3-0-12-3-42,3,0.0,12.0,3,42,36,15,200,0.775,0.02952752952754429,75.01
5-0-13-1-49,5,0.0,13.0,1,49,25,10,200,0.775,0.02952752952754429,78.05
4-1-7-2-41,4,1.0,7.0,2,41,31,13,400,0.775,0.02087911636061258,78.2375
4-1-9-2-44,4,1.0,9.0,2,44,26,17,200,0.775,0.02952752952754429,79.125
3-0-5-2-44,3,0.0,5.0,2,44,36,14,200,0.775,0.02952752952754429,77.63
5-0-11-3-29,5,0.0,11.0,3,29,10,10,200,0.775,0.02952752952754429,77.405
5-0-12-1-31,5,0.0,12.0,1,31,14,46,400,0.775,0.02087911636061258,76.93
5-0-11-2-21,5,0.0,11.0,2,21,10,103,1600,0.775,0.01043955818030629,77.211875
4-1-12-2-43,4,1.0,12.0,2,43,26,19,200,0.775,0.02952752952754429,78.06
3-0-4-3-30,3,0.0,4.0,3,30,22,14,200,0.775,0.02952752952754429,79.785
5-0-12-2-8,5,0.0,12.0,2,8,0,22,200,0.775,0.02952752952754429,76.285
5-1-13-2-38,5,1.0,13.0,2,38,21,56,1200,0.7741666666666667,0.012070371400281797,76.8075
5-0-13-2-39,5,0.0,13.0,2,39,20,72,1200,0.7741666666666667,0.012070371400281797,78.34083333333334
5-1-13-1-32,5,1.0,13.0,1,32,24,32,500,0.774,0.01870422412183943,76.894
5-2-8-2-31,5,2.0,8.0,2,31,11,15,500,0.774,0.01870422412183943,76.62
5-2-9-2-34,5,2.0,9.0,2,34,14,17,500,0.774,0.01870422412183943,75.646
5-1-13-2-41,5,1.0,13.0,2,41,14,60,1000,0.774,0.013225883713385657,77.788
4-0-8-2-44,4,0.0,8.0,2,44,25,71,1300,0.7738461538461539,0.011602661631767238,76.45692307692308
5-1-11-2-25,5,1.0,11.0,2,25,14,45,1100,0.7736363636363637,0.0126175613727948,77.02454545454546
5-0-11-2-37,5,0.0,11.0,2,37,10,37,900,0.7733333333333333,0.013955838638317852,79.24222222222222
5-3-10-2-45,5,3.0,10.0,2,45,15,5,300,0.7733333333333333,0.024172221583799378,77.0
6-3-10-1-32,6,3.0,10.0,1,32,0,8,300,0.7733333333333333,0.024172221583799378,76.04333333333334
4-2-6-2-35,4,2.0,6.0,2,35,25,16,300,0.7733333333333333,0.024172221583799378,77.58
4-1-7-3-32,4,1.0,7.0,3,32,22,12,300,0.7733333333333333,0.024172221583799378,77.97
5-1-12-2-51,5,1.0,12.0,2,51,25,8,300,0.7733333333333333,0.024172221583799378,77.91333333333333
5-1-9-1-34,5,1.0,9.0,1,34,14,13,300,0.7733333333333333,0.024172221583799378,78.18666666666667
4-0-11-2-48,4,0.0,11.0,2,48,32,26,300,0.7733333333333333,0.024172221583799378,77.56333333333333
5-1-11-2-51,5,1.0,11.0,2,51,32,5,300,0.7733333333333333,0.024172221583799378,79.37666666666667
5-3-13-1-40,5,3.0,13.0,1,40,14,9,300,0.7733333333333333,0.024172221583799378,77.48333333333333
5-2-13-1-39,5,2.0,13.0,1,39,11,16,400,0.7725,0.02096090110181335,76.48
5-0-11-2-14,5,0.0,11.0,2,14,4,33,400,0.7725,0.02096090110181335,77.9675
6-2-13-2-23,6,2.0,13.0,2,23,4,13,400,0.7725,0.02096090110181335,76.6125
5-0-9-1-20,5,0.0,9.0,1,20,0,11,400,0.7725,0.02096090110181335,77.755
4-0-6-2-20,4,0.0,6.0,2,20,11,31,600,0.7716666666666666,0.01713657016549803,75.745
6-2-13-1-30,6,2.0,13.0,1,30,0,34,600,0.7716666666666666,0.01713657016549803,76.75333333333333
5-1-12-1-30,5,1.0,12.0,1,30,11,42,600,0.7716666666666666,0.01713657016549803,76.53666666666666
5-0-12-2-29,5,0.0,12.0,2,29,11,133,3200,0.7709375,0.0074286790357907416,77.060625
5-0-11-2-46,5,0.0,11.0,2,46,19,5,100,0.77,0.042083250825001625,75.97
5-0-13-3-45,5,0.0,13.0,3,45,25,2,100,0.77,0.042083250825001625,77.04
6-3-10-1-24,6,3.0,10.0,1,24,0,3,100,0.77,0.042083250825001625,77.15
6-2-12-1-36,6,2.0,12.0,1,36,10,6,100,0.77,0.042083250825001625,78.59
4-0-7-3-45,4,0.0,7.0,3,45,35,3,100,0.77,0.042083250825001625,78.7
6-4-12-1-33,6,4.0,12.0,1,33,4,3,100,0.77,0.042083250825001625,73.83
4-1-5-3-29,4,1.0,5.0,3,29,19,1,100,0.77,0.042083250825001625,78.01
6-4-11-1-35,6,4.0,11.0,1,35,14,2,100,0.77,0.042083250825001625,74.46
5-3-10-1-47,5,3.0,10.0,1,47,25,2,100,0.77,0.042083250825001625,75.75
5-3-10-2-51,5,3.0,10.0,2,51,21,4,100,0.77,0.042083250825001625,74.74
6-4-12-2-31,6,4.0,12.0,2,31,4,4,100,0.77,0.042083250825001625,76.92
4-5-9-2-38,4,5.0,9.0,2,38,22,4,100,0.77,0.042083250825001625,74.65
5-3-9-2-49,5,3.0,9.0,2,49,21,12,200,0.77,0.02975735203273302,76.32
5-0-10-1-37,5,0.0,10.0,1,37,14,26,300,0.77,0.024296776192189225,78.50333333333333
6-1-11-1-22,6,1.0,11.0,1,22,0,24,100,0.77,0.042083250825001625,77.74
5-0-12-1-17,5,0.0,12.0,1,17,4,15,200,0.77,0.02975735203273302,76.26
4-1-11-3-48,4,1.0,11.0,3,48,32,6,100,0.77,0.042083250825001625,75.53
4-0-8-3-50,4,0.0,8.0,3,50,31,7,200,0.77,0.02975735203273302,78.705
4-2-7-3-32,4,2.0,7.0,3,32,22,3,100,0.77,0.042083250825001625,75.72
3-0-2-2-52,3,0.0,2.0,2,52,43,1,100,0.77,0.042083250825001625,72.68
5-0-9-1-39,5,0.0,9.0,1,39,20,19,100,0.77,0.042083250825001625,76.92
5-0-11-1-27,5,0.0,11.0,1,27,10,21,500,0.77,0.018820201911775546,77.256
5-4-10-2-27,5,4.0,10.0,2,27,15,1,100,0.77,0.042083250825001625,76.06
5-0-11-3-43,5,0.0,11.0,3,43,25,5,100,0.77,0.042083250825001625,78.2
6-4-13-2-30,6,4.0,13.0,2,30,11,2,100,0.77,0.042083250825001625,74.33
