signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
3-1-11-3-25,3,1.0,11.0,3,25,11,1,50,0.44,0.07019971509913699,58.32
2-0-7-3-31,2,0.0,7.0,3,31,26,1,50,0.44,0.07019971509913699,56.04
3-0-12-3-30,3,0.0,12.0,3,30,24,1,50,0.44,0.07019971509913699,59.96
1-8-8-3-56,1,8.0,8.0,3,56,45,1,50,0.44,0.07019971509913699,52.7
3-2-11-3-35,3,2.0,11.0,3,35,29,1,50,0.44,0.07019971509913699,55.76
3-3-13-3-28,3,3.0,13.0,3,28,25,1,50,0.42,0.06979971346646059,56.42
2-5-8-2-46,2,5.0,8.0,2,46,33,1,50,0.42,0.06979971346646059,51.46
4-5-13-3-20,4,5.0,13.0,3,20,14,1,50,0.42,0.06979971346646059,50.02
3-3-11-2-34,3,3.0,11.0,2,34,20,1,50,0.42,0.06979971346646059,51.74
4-5-13-2-14,4,5.0,13.0,2,14,8,1,50,0.42,0.06979971346646059,51.08
2-3-8-3-40,2,3.0,8.0,3,40,26,1,50,0.42,0.06979971346646059,55.28
3-4-7-3-27,3,4.0,7.0,3,27,21,1,50,0.42,0.06979971346646059,55.22
3-2-12-2-25,3,2.0,12.0,2,25,20,1,50,0.42,0.06979971346646059,52.48
4-4-13-2-41,4,4.0,13.0,2,41,29,1,50,0.42,0.06979971346646059,57.82
3-4-9-3-29,3,4.0,9.0,3,29,15,1,50,0.42,0.06979971346646059,50.44
2-7-10-4-38,2,7.0,10.0,4,38,32,1,50,0.4,0.06928203230275509,51.04
3-6-12-3-48,3,6.0,12.0,3,48,36,1,50,0.4,0.06928203230275509,56.66
2-3-9-2-38,2,3.0,9.0,2,38,25,1,50,0.4,0.06928203230275509,55.48
3-4-12-3-28,3,4.0,12.0,3,28,15,1,50,0.4,0.06928203230275509,58.08
3-2-8-3-38,3,2.0,8.0,3,38,22,1,50,0.4,0.06928203230275509,59.02
3-1-8-3-35,3,1.0,8.0,3,35,19,1,50,0.4,0.06928203230275509,57.98
3-8-13-3-39,3,8.0,13.0,3,39,18,1,50,0.4,0.06928203230275509,50.08
4-3-12-2-34,4,3.0,12.0,2,34,25,1,50,0.4,0.06928203230275509,52.68
3-4-9-2-29,3,4.0,9.0,2,29,15,1,50,0.4,0.06928203230275509,48.6
4-4-13-3-34,4,4.0,13.0,3,34,20,1,50,0.4,0.06928203230275509,56.16
4-2-12-2-29,4,2.0,12.0,2,29,14,1,50,0.4,0.06928203230275509,56.0
2-2-13-3-33,2,2.0,13.0,3,33,30,1,50,0.4,0.06928203230275509,53.16
2-4-12-2-17,2,4.0,12.0,2,17,15,1,50,0.4,0.06928203230275509,52.18
4-4-12-2-39,4,4.0,12.0,2,39,33,1,50,0.38,0.06864400920692205,57.46
3-5-12-2-25,3,5.0,12.0,2,25,19,1,50,0.38,0.06864400920692205,53.16
4-0-13-2-24,4,0.0,13.0,2,24,0,1,50,0.38,0.06864400920692205,52.92
4-5-12-2-27,4,5.0,12.0,2,27,11,1,50,0.38,0.06864400920692205,56.34
2-6-13-3-48,2,6.0,13.0,3,48,46,1,50,0.38,0.06864400920692205,55.06
1-0-0-4-27,1,0.0,0.0,4,27,24,1,50,0.36,0.06788225099390856,52.68
1-7-7-3-52,1,7.0,7.0,3,52,50,1,50,0.36,0.06788225099390856,51.08
2-6-12-3-38,2,6.0,12.0,3,38,36,1,50,0.36,0.06788225099390856,54.0
3-2-12-3-28,3,2.0,12.0,3,28,14,1,50,0.36,0.06788225099390856,51.06
2-4-13-2-27,2,4.0,13.0,2,27,25,1,50,0.36,0.06788225099390856,54.08
3-1-11-3-27,3,1.0,11.0,3,27,22,1,50,0.36,0.06788225099390856,51.16
3-5-13-2-31,3,5.0,13.0,2,31,25,1,50,0.36,0.06788225099390856,52.1
2-4-9-3-37,2,4.0,9.0,3,37,25,1,50,0.36,0.06788225099390856,51.3
3-4-12-2-34,3,4.0,12.0,2,34,22,1,50,0.36,0.06788225099390856,51.78
1-9-9-3-42,1,9.0,9.0,3,42,32,1,50,0.36,0.06788225099390856,51.24
4-5-12-3-23,4,5.0,12.0,3,23,15,1,50,0.36,0.06788225099390856,52.68
3-4-8-2-25,3,4.0,8.0,2,25,10,1,50,0.34,0.0669925368977769,52.76
1-1-1-3-32,1,1.0,1.0,3,32,29,1,50,0.34,0.0669925368977769,51.98
3-4-8-3-34,3,4.0,8.0,3,34,19,1,50,0.34,0.0669925368977769,49.24
3-3-10-2-29,3,3.0,10.0,2,29,11,1,50,0.34,0.0669925368977769,53.94
3-4-11-3-25,3,4.0,11.0,3,25,21,1,50,0.34,0.0669925368977769,52.16
2-2-10-3-32,2,2.0,10.0,3,32,25,1,50,0.34,0.0669925368977769,49.74
3-2-11-3-21,3,2.0,11.0,3,21,14,1,50,0.32,0.06596969000988256,49.0
3-3-11-2-43,3,3.0,11.0,2,43,29,1,50,0.32,0.06596969000988256,49.18
3-0-10-2-13,3,0.0,10.0,2,13,4,1,50,0.32,0.06596969000988256,50.02
2-5-11-3-38,2,5.0,11.0,3,38,36,1,50,0.32,0.06596969000988256,48.08
1-3-3-3-49,1,3.0,3.0,3,49,46,1,50,0.32,0.06596969000988256,50.36
1-5-5-3-41,1,5.0,5.0,3,41,39,1,50,0.32,0.06596969000988256,46.12
3-8-12-3-42,3,8.0,12.0,3,42,21,1,50,0.3,0.0648074069840786,49.6
2-10-13-3-18,2,10.0,13.0,3,18,14,1,50,0.3,0.0648074069840786,48.78
3-2-9-3-37,3,2.0,9.0,3,37,22,1,50,0.3,0.0648074069840786,48.66
3-4-13-3-25,3,4.0,13.0,3,25,21,1,50,0.3,0.0648074069840786,49.9
3-0-9-2-23,3,0.0,9.0,2,23,8,1,50,0.28,0.06349803146555018,49.62
3-10-12-4-29,3,10.0,12.0,4,29,25,1,50,0.28,0.06349803146555018,48.52
