game_id,trick_number,player_idx,is_declarer,hand,current_trick,played_cards,legal_actions,rulebased_choice,rulebased_value,best_action,best_value,is_mistake,mistake_severity,num_options,value_10_Acorn,value_10_Bell,value_10_Heart,value_10_Leaf,value_7_Acorn,value_7_Bell,value_7_Heart,value_7_Leaf,value_8_Acorn,value_8_Bell,value_8_Heart,value_8_Leaf,value_9_Acorn,value_9_Bell,value_9_Heart,value_9_Leaf,value_A_Acorn,value_A_Bell,value_A_Heart,value_A_Leaf,value_K_Acorn,value_K_Bell,value_K_Heart,value_K_Leaf,value_O_Acorn,value_O_Bell,value_O_Heart,value_O_Leaf,value_U_Acorn,value_U_Bell,value_U_Heart,value_U_Leaf
179,0,3,False,8_Leaf|10_Bell|7_Leaf|9_Leaf|U_Leaf|9_Acorn|7_Heart|10_Acorn,2:10_Heart,,U_Leaf|7_Heart,U_Leaf,1.0,U_Leaf,1.0,False,0.0,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
179,0,0,True,A_Leaf|7_Bell|K_Acorn|9_Heart|U_Bell|U_Heart|8_Bell|K_Leaf,2:10_Heart|3:U_Leaf,,9_Heart|U_Bell|U_Heart,9_Heart,0.0,U_Bell,0.005,False,0.005,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.005,0.0,
179,0,1,False,O_Heart|O_Acorn|8_Heart|A_Heart|A_Acorn|K_Heart|O_Bell|O_Leaf,2:10_Heart|3:U_Leaf|0:9_Heart,,O_Heart|O_Acorn|8_Heart|A_Heart|K_Heart|O_Bell|O_Leaf,A_Heart,1.0,O_Heart,1.0,False,0.0,7,,,,,,,,,,,1.0,,,,,,,,1.0,,,,0.995,,1.0,0.995,1.0,0.995,,,,
179,1,3,False,8_Leaf|10_Bell|7_Leaf|9_Leaf|9_Acorn|7_Heart|10_Acorn,,10_Heart|U_Leaf|9_Heart|A_Heart,8_Leaf|10_Bell|7_Leaf|9_Leaf|9_Acorn|7_Heart|10_Acorn,7_Heart,1.0,8_Leaf,1.0,False,0.0,7,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
179,1,0,True,A_Leaf|7_Bell|K_Acorn|U_Bell|U_Heart|8_Bell|K_Leaf,3:7_Heart,10_Heart|U_Leaf|9_Heart|A_Heart,U_Bell|U_Heart,U_Bell,0.0,U_Bell,0.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
179,1,1,False,O_Heart|O_Acorn|8_Heart|A_Acorn|K_Heart|O_Bell|O_Leaf,3:7_Heart|0:U_Bell,10_Heart|U_Leaf|9_Heart|A_Heart,O_Heart|O_Acorn|8_Heart|K_Heart|O_Bell|O_Leaf,8_Heart,1.0,O_Heart,1.0,False,0.0,6,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,
179,2,2,True,10_Leaf|K_Bell|9_Bell|A_Bell|7_Acorn|8_Acorn,,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn,10_Leaf|K_Bell|9_Bell|A_Bell|7_Acorn|8_Acorn,A_Bell,0.0,10_Leaf,0.0,False,0.0,6,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,
179,2,0,True,A_Leaf|7_Bell|K_Acorn|U_Heart|8_Bell|K_Leaf,2:A_Bell|3:10_Bell,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn,7_Bell|8_Bell,7_Bell,0.0,7_Bell,0.0,False,0.0,2,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
179,2,1,False,O_Heart|O_Acorn|A_Acorn|K_Heart|O_Bell|O_Leaf,2:A_Bell|3:10_Bell|0:7_Bell,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn,O_Heart|O_Acorn|A_Acorn|K_Heart|O_Bell|O_Leaf,O_Acorn,1.0,O_Heart,1.0,False,0.0,6,,,,,,,,,,,,,,,,,0.985,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,
179,3,1,False,O_Heart|A_Acorn|K_Heart|O_Bell|O_Leaf,,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn,O_Heart|A_Acorn|K_Heart|O_Bell|O_Leaf,O_Leaf,1.0,O_Heart,1.0,False,0.0,5,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,
179,3,2,True,10_Leaf|K_Bell|9_Bell|7_Acorn|8_Acorn,1:O_Leaf,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn,10_Leaf|K_Bell|9_Bell|7_Acorn|8_Acorn,7_Acorn,0.0,10_Leaf,0.0,False,0.0,5,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,
179,3,3,False,8_Leaf|7_Leaf|9_Leaf|9_Acorn|10_Acorn,1:O_Leaf|2:7_Acorn,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn,8_Leaf|7_Leaf|9_Leaf|9_Acorn|10_Acorn,10_Acorn,1.0,8_Leaf,1.0,False,0.0,5,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
179,4,1,False,O_Heart|A_Acorn|K_Heart|O_Bell,,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart,O_Heart|A_Acorn|K_Heart|O_Bell,A_Acorn,1.0,O_Heart,1.0,False,0.0,4,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,
179,5,1,False,O_Heart|K_Heart|O_Bell,,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn,O_Heart|K_Heart|O_Bell,K_Heart,1.0,O_Heart,1.0,False,0.0,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
179,5,2,True,10_Leaf|K_Bell|9_Bell,1:K_Heart,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn,10_Leaf|K_Bell|9_Bell,9_Bell,0.0,10_Leaf,0.0,False,0.0,3,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,
179,5,3,False,8_Leaf|7_Leaf|9_Leaf,1:K_Heart|2:9_Bell,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn,8_Leaf|7_Leaf|9_Leaf,7_Leaf,1.0,8_Leaf,1.0,False,0.0,3,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
179,5,0,True,A_Leaf|8_Bell|K_Leaf,1:K_Heart|2:9_Bell|3:7_Leaf,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn,A_Leaf|8_Bell|K_Leaf,8_Bell,0.0,A_Leaf,0.0,False,0.0,3,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,
179,6,1,False,O_Heart|O_Bell,,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn|K_Heart|9_Bell|7_Leaf|8_Bell,O_Heart|O_Bell,O_Bell,1.0,O_Heart,1.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
179,6,2,True,10_Leaf|K_Bell,1:O_Bell,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn|K_Heart|9_Bell|7_Leaf|8_Bell,10_Leaf|K_Bell,K_Bell,0.0,10_Leaf,0.0,False,0.0,2,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
179,6,3,False,8_Leaf|9_Leaf,1:O_Bell|2:K_Bell,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn|K_Heart|9_Bell|7_Leaf|8_Bell,8_Leaf|9_Leaf,8_Leaf,1.0,8_Leaf,1.0,False,0.0,2,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
179,6,0,True,A_Leaf|K_Leaf,1:O_Bell|2:K_Bell|3:8_Leaf,10_Heart|U_Leaf|9_Heart|A_Heart|7_Heart|U_Bell|8_Heart|U_Acorn|A_Bell|10_Bell|7_Bell|O_Acorn|O_Leaf|7_Acorn|10_Acorn|U_Heart|A_Acorn|8_Acorn|9_Acorn|K_Acorn|K_Heart|9_Bell|7_Leaf|8_Bell,A_Leaf|K_Leaf,K_Leaf,0.0,A_Leaf,0.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,
180,0,1,True,10_Heart|K_Leaf|K_Acorn|8_Bell|8_Acorn|A_Acorn|O_Bell|9_Acorn,,,10_Heart|K_Leaf|K_Acorn|8_Bell|8_Acorn|A_Acorn|O_Bell|9_Acorn,10_Heart,0.245,A_Acorn,0.525,True,0.28,8,,,0.245,,,,,,0.23,0.245,,,0.23,,,,0.525,,,,0.24,,,0.26,,0.28,,,,,,
180,0,2,True,U_Bell|A_Leaf|K_Bell|O_Leaf|7_Leaf|9_Bell|U_Heart|U_Acorn,1:10_Heart,,U_Bell|O_Leaf|U_Heart|U_Acorn,O_Leaf,0.31,O_Leaf,0.31,False,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.24,0.205,0.22,
180,0,3,False,8_Leaf|10_Bell|K_Heart|10_Leaf|A_Bell|9_Heart|O_Acorn|7_Acorn,1:10_Heart|2:O_Leaf,,K_Heart|9_Heart|O_Acorn,O_Acorn,0.825,O_Acorn,0.825,False,0.0,3,,,,,,,,,,,,,,,0.655,,,,,,,,0.65,,0.825,,,,,,,
180,0,0,False,7_Heart|O_Heart|U_Leaf|7_Bell|8_Heart|10_Acorn|9_Leaf|A_Heart,1:10_Heart|2:O_Leaf|3:O_Acorn,,7_Heart|O_Heart|U_Leaf|8_Heart|A_Heart,A_Heart,0.95,A_Heart,0.95,False,0.0,5,,,,,,,0.82,,,,0.83,,,,,,,,0.95,,,,,,,,0.78,,,,,0.815
180,1,3,False,8_Leaf|10_Bell|K_Heart|10_Leaf|A_Bell|9_Heart|7_Acorn,,10_Heart|O_Leaf|O_Acorn|A_Heart,8_Leaf|10_Bell|K_Heart|10_Leaf|A_Bell|9_Heart|7_Acorn,9_Heart,0.945,10_Bell,0.98,False,0.03500000000000003,7,,0.98,,0.915,0.93,,,,,,,0.96,,,0.945,,,0.93,,,,,0.935,,,,,,,,,
180,1,0,False,7_Heart|O_Heart|U_Leaf|7_Bell|8_Heart|10_Acorn|9_Leaf,3:9_Heart,10_Heart|O_Leaf|O_Acorn|A_Heart,7_Heart|O_Heart|U_Leaf|8_Heart,O_Heart,0.96,7_Heart,0.975,False,0.015000000000000013,4,,,,,,,0.975,,,,0.955,,,,,,,,,,,,,,,,0.96,,,,,0.88
180,1,2,True,U_Bell|A_Leaf|K_Bell|7_Leaf|9_Bell|U_Heart|U_Acorn,3:9_Heart|0:O_Heart|1:O_Bell,10_Heart|O_Leaf|O_Acorn|A_Heart,U_Bell|U_Heart|U_Acorn,U_Bell,0.025,U_Bell,0.025,False,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.025,0.025,
